frame_id,inference_time_ms
1,861.0785007476807
2,42.197227478027344
3,45.803070068359375
4,12.282609939575195
5,42.867422103881836
6,38.935184478759766
7,42.94753074645996
8,41.231632232666016
9,45.264244079589844
10,46.120405197143555
11,11.077642440795898
12,39.811134338378906
13,38.06161880493164
14,41.86582565307617
15,11.14654541015625
16,10.048627853393555
17,9.28187370300293
18,48.71392250061035
19,38.70582580566406
20,40.660858154296875
21,45.42088508605957
22,41.89634323120117
23,9.638786315917969
24,48.7523078918457
25,45.17483711242676
26,42.02008247375488
27,10.331392288208008
28,16.35122299194336
29,14.415502548217773
30,45.3031063079834
31,42.59228706359863
32,10.567188262939453
33,10.60175895690918
34,44.14200782775879
35,11.507034301757812
36,39.87550735473633
37,11.432409286499023
38,14.112234115600586
39,45.22895812988281
40,12.789726257324219
41,47.14345932006836
42,11.094808578491211
43,43.781280517578125
44,15.872955322265625
45,13.145208358764648
46,46.79107666015625
47,45.22824287414551
48,14.180183410644531
49,40.875911712646484
50,47.67131805419922
51,51.06520652770996
52,10.79106330871582
53,43.21146011352539
54,11.353492736816406
55,10.397911071777344
56,13.690471649169922
57,40.79031944274902
58,13.257741928100586
59,12.557029724121094
60,12.13979721069336
61,10.940313339233398
62,11.956930160522461
63,12.012004852294922
64,9.170770645141602
65,11.04736328125
66,43.28179359436035
67,39.1383171081543
68,11.77525520324707
69,11.886119842529297
70,43.96462440490723
71,40.92526435852051
72,11.050224304199219
73,12.669563293457031
74,14.502763748168945
75,11.345386505126953
76,42.70768165588379
77,12.546777725219727
78,12.41612434387207
79,15.675783157348633
80,10.769367218017578
81,10.813236236572266
82,10.063409805297852
83,45.648813247680664
84,14.169931411743164
85,13.189554214477539
86,14.279365539550781
87,11.116981506347656
88,15.257120132446289
89,10.104179382324219
90,41.863203048706055
91,12.185096740722656
92,10.421991348266602
93,10.83993911743164
94,13.968467712402344
95,9.333133697509766
96,12.831687927246094
97,43.88260841369629
98,42.24133491516113
99,12.16435432434082
100,11.883020401000977
101,12.83717155456543
102,40.27891159057617
103,37.58072853088379
104,13.143777847290039
105,39.240360260009766
106,10.991096496582031
107,12.631416320800781
108,13.416051864624023
109,13.864755630493164
110,13.039827346801758
111,10.764598846435547
112,12.872695922851562
113,15.341758728027344
114,9.870767593383789
115,11.022090911865234
116,44.600486755371094
117,10.610342025756836
118,8.676528930664062
119,9.665727615356445
120,11.727094650268555
121,10.404109954833984
122,11.971712112426758
123,9.895086288452148
124,10.87331771850586
125,11.764764785766602
126,11.970043182373047
127,9.610176086425781
128,10.906696319580078
129,13.924360275268555
130,11.56759262084961
131,10.757684707641602
132,11.005878448486328
133,13.170957565307617
134,10.553121566772461
135,10.618925094604492
136,12.805938720703125
137,11.284112930297852
138,8.981704711914062
139,13.04006576538086
140,13.359308242797852
141,10.474205017089844
142,10.533332824707031
143,13.727664947509766
144,10.891199111938477
145,8.443832397460938
146,10.799646377563477
147,11.239290237426758
148,9.724855422973633
149,10.463476181030273
150,12.058019638061523
