# x_m,y_m,w_tr_right_m,w_tr_left_m
3785.0219,-3541.2925,149.9907,149.9907
3496.9607,-3460.9626,150.2434,150.2434
3218.8293,-3351.6855,152.9381,152.9381
2959.5910,-3202.9088,157.2841,157.2841
2711.7554,-3035.4864,158.8728,158.8728
2465.8384,-2865.2238,158.1653,158.1653
2214.1504,-2703.7134,155.4741,155.4741
1949.4112,-2564.9350,151.6591,151.6591
1666.5164,-2469.3550,150.2129,150.2129
1369.5181,-2441.1071,155.9165,155.9165
1071.0187,-2458.7373,159.2500,159.2500
772.4481,-2475.0553,156.0072,156.0072
474.1795,-2456.7683,151.7002,151.7002
180.7260,-2399.8655,150.0693,150.0693
-104.1871,-2309.3470,150.4841,150.4841
-377.0117,-2187.1690,152.7086,152.7086
-633.1644,-2033.1988,157.2366,157.2366
-865.5960,-1845.6006,165.2114,165.2114
-970.1546,-1738.6224,164.6088,164.6088
-1146.3568,-1497.8606,154.4218,154.4218
-1260.6331,-1222.4763,150.0140,150.0140
-1291.7854,-926.2616,157.1535,157.1535
-1273.8502,-777.9391,171.7980,171.7980
-1186.4735,-493.3808,156.0931,156.0931
-1014.3285,-251.2743,150.6514,150.6514
-759.3811,-99.4531,166.1250,166.1250
-616.7529,-54.9764,161.4070,161.4070
-321.3212,-11.1652,154.2790,154.2790
-22.4798,-0.1906,152.2946,152.2946
276.6259,-0.8839,152.0049,152.0049
575.7292,-0.3112,152.5869,152.5869
874.6863,8.6989,153.7001,153.7001
1173.0051,29.9428,155.5453,155.5453
1469.5416,68.4797,158.7318,158.7318
1761.4405,132.7332,164.8772,164.8772
2171.4776,309.0642,153.6308,153.6308
2379.0776,520.3774,154.1122,154.1122
2450.4767,954.0600,151.4125,151.4125
2430.8386,1252.2033,155.0571,155.0571
2456.7592,1398.6591,168.4258,168.4258
2603.3751,1654.1509,150.0015,150.0015
2843.8934,1829.9235,156.5105,156.5105
3118.3107,1947.6473,165.2912,165.2912
3261.3364,1991.7493,166.2126,166.2126
3552.8360,2058.0593,160.9784,160.9784
3848.7249,2101.2869,157.6937,157.6937
4146.7456,2126.1546,155.3397,155.3397
4445.7101,2133.6247,153.3465,153.3465
4744.5966,2123.3650,151.8162,151.8162
5042.4512,2096.3955,150.8521,150.8521
5338.7166,2055.4028,150.3467,150.3467
5633.4607,2004.5335,150.1579,150.1579
5927.3358,1948.8237,150.1246,150.1246
6221.2653,1893.4026,150.2105,150.2105
6516.0594,1842.8161,150.4598,150.4598
6812.1485,1800.5068,150.9317,150.9317
7108.9953,1763.7867,150.9749,150.9749
7404.9438,1720.5920,150.3931,150.3931
7697.0193,1656.7034,150.0442,150.0442
7976.6893,1552.0562,153.4137,153.4137
8217.1257,1377.9772,171.1561,171.1561
8313.6758,1264.3898,155.3103,155.3103
8441.1332,994.9384,150.0052,150.0052
8513.4440,704.9341,151.2713,151.2713
8558.7742,409.3229,152.5382,152.5382
8595.5132,112.4790,152.5390,152.5390
8639.1525,-183.3930,151.2735,151.2735
8708.7775,-474.0520,150.0000,150.0000
8836.3710,-743.1717,156.7484,156.7484
9183.9097,-1015.4272,151.1046,151.1046
9470.5814,-1098.8741,150.5591,150.5591
9766.9316,-1138.2903,152.8381,152.8381
10065.5479,-1154.7525,154.6467,154.6467
10364.5874,-1161.0079,155.4020,155.4020
10663.6449,-1166.4691,155.0513,155.0513
10962.4258,-1179.9027,153.6330,153.6330
11259.7256,-1211.8524,151.4625,151.4625
11551.2773,-1277.3621,150.0011,150.0011
11823.3404,-1399.4176,155.0633,155.0633
11940.7789,-1491.4414,173.1816,173.1816
12124.6560,-1723.9313,153.3041,153.3041
12229.5468,-2003.3252,150.0219,150.0219
12283.2508,-2297.2805,151.8875,151.8875
12295.1470,-2595.8970,156.1380,156.1380
12269.4750,-2893.6586,161.8614,161.8614
12210.0483,-3186.5565,168.5018,168.5018
12169.0540,-3330.5217,163.5664,163.5664
12064.9864,-3610.7413,158.2375,158.2375
11933.0866,-3879.0175,154.1662,154.1662
11774.3565,-4132.3577,151.3803,151.3803
11589.2632,-4367.1157,150.0675,150.0675
11377.9754,-4578.5584,150.6905,150.6905
11140.7404,-4760.2843,154.0241,154.0241
10878.9093,-4904.0136,161.0241,161.0241
10739.8519,-4959.2154,169.7997,169.7997
10452.1262,-5039.3096,160.8575,160.8575
10156.0197,-5079.7146,155.2136,155.2136
9857.1367,-5086.4836,152.0953,152.0953
9558.8419,-5065.6896,150.5659,150.5659
9262.8923,-5022.7251,150.0395,150.0395
8970.0531,-4961.9828,150.0703,150.0703
8680.5170,-4887.0085,150.3609,150.3609
8394.1163,-4800.7985,150.7810,150.7810
8110.4249,-4706.0310,151.1604,151.1604
7828.6889,-4605.5834,151.3975,151.3975
7547.8837,-4502.5544,151.4148,151.4148
7266.8233,-4400.2257,151.1969,151.1969
6984.3046,-4302.0091,150.7961,150.7961
6699.2851,-4211.3296,150.3557,150.3557
6411.5912,-4129.5212,150.1075,150.1075
6121.8755,-4055.1743,150.0115,150.0115
5830.7143,-3986.6944,150.0044,150.0044
5538.5768,-3922.4972,150.0373,150.0373
5245.8535,-3861.0203,150.0749,150.0749
4952.8838,-3800.7256,150.0952,150.0952
4659.9832,-3740.0971,150.0888,150.0888
4367.4686,-3677.6370,150.0588,150.0588
4075.6830,-3611.8617,150.0201,150.0201
