# x_m,y_m,w_tr_right_m,w_tr_left_m
-66.0141,-28.1351,1.4991,1.4991
-65.0278,-30.9441,1.5360,1.5360
-63.5304,-33.5223,1.5977,1.5977
-61.7443,-35.9122,1.6454,1.6454
-59.8172,-38.1915,1.6672,1.6672
-57.8578,-40.4434,1.6601,1.6601
-55.9763,-42.7597,1.6210,1.6210
-54.3358,-45.2493,1.5505,1.5505
-53.2585,-48.0209,1.5010,1.5010
-53.6961,-52.4053,1.6301,1.6301
-54.0143,-53.8544,1.5807,1.5807
-53.6030,-56.7842,1.5059,1.5059
-52.0556,-59.2983,1.6886,1.6886
-50.9331,-60.2664,1.5372,1.5372
-48.0996,-61.1051,1.5407,1.5407
-45.1195,-61.0616,1.6163,1.6163
-42.1510,-60.7506,1.6361,1.6361
-39.1897,-60.3753,1.6418,1.6418
-36.2301,-59.9864,1.6389,1.6389
-33.2671,-59.6248,1.6279,1.6279
-30.2965,-59.3335,1.6085,1.6085
-27.3166,-59.1680,1.5800,1.5800
-24.3331,-59.2089,1.5428,1.5428
-21.3756,-59.5910,1.5063,1.5063
-18.5606,-60.5558,1.5239,1.5239
-15.4423,-63.6499,1.5242,1.5242
-14.5185,-66.4806,1.5029,1.5029
-13.9010,-69.4010,1.5037,1.5037
-13.1139,-72.2785,1.5022,1.5022
-11.8919,-74.9979,1.5327,1.5327
-10.2659,-77.4973,1.5909,1.5909
-8.3142,-79.7515,1.6648,1.6648
-7.2345,-80.7832,1.6462,1.6462
-4.8895,-82.6249,1.5758,1.5758
-2.3104,-84.1213,1.5230,1.5230
0.4753,-85.1820,1.5000,1.5000
3.4150,-85.6578,1.5381,1.5381
6.3673,-85.3451,1.6903,1.6903
7.7843,-84.8859,1.5786,1.5786
10.3112,-83.3206,1.5012,1.5012
12.3555,-81.1549,1.5268,1.5268
13.8850,-78.5998,1.6147,1.6147
14.4366,-77.2136,1.6730,1.6730
15.0706,-74.3080,1.5457,1.5457
14.8679,-71.3432,1.5033,1.5033
13.8603,-68.5399,1.5537,1.5537
12.4614,-65.9041,1.5875,1.5875
11.0065,-63.2980,1.5695,1.5695
9.8175,-60.5645,1.5138,1.5138
9.3575,-57.6308,1.5304,1.5304
9.5384,-54.6538,1.5197,1.5197
9.1218,-51.7043,1.5025,1.5025
8.2633,-48.8464,1.5143,1.5143
7.3279,-46.0119,1.5084,1.5084
6.6429,-43.1093,1.5009,1.5009
6.5583,-40.1346,1.5634,1.5634
7.8828,-35.8983,1.5557,1.5557
9.8826,-33.7265,1.5314,1.5314
14.1313,-32.4809,1.5690,1.5690
17.1129,-32.3629,1.5370,1.5370
20.0970,-32.3041,1.5496,1.5496
23.0546,-31.9418,1.6303,1.6303
24.4840,-31.5211,1.6336,1.6336
27.0533,-30.0379,1.5075,1.5075
29.0624,-27.8423,1.5203,1.5203
30.5182,-25.2434,1.5949,1.5949
31.4824,-22.4242,1.6939,1.6939
31.8036,-20.9662,1.6133,1.6133
32.0937,-17.9994,1.5432,1.5432
31.8946,-15.0252,1.5037,1.5037
31.1269,-12.1464,1.5140,1.5140
29.7742,-9.4927,1.5852,1.5852
27.9176,-7.1646,1.6986,1.6986
26.8463,-6.1252,1.6054,1.6054
24.4631,-4.3343,1.5387,1.5387
21.8478,-2.9002,1.5075,1.5075
19.0777,-1.7924,1.5001,1.5001
16.2064,-0.9810,1.5084,1.5084
13.2714,-0.4426,1.5273,1.5273
10.3019,-0.1455,1.5500,1.5500
7.3199,-0.0202,1.5675,1.5675
4.3350,0.0040,1.5765,1.5765
1.3500,-0.0044,1.5749,1.5749
-1.6346,0.0322,1.5604,1.5604
-4.6125,0.2251,1.5315,1.5315
-7.5424,0.7749,1.5004,1.5004
-11.1897,3.1926,1.5886,1.5886
-12.2946,5.9381,1.5026,1.5026
-12.6906,8.8946,1.5269,1.5269
-12.8812,11.8734,1.5347,1.5347
-13.0899,14.8510,1.5259,1.5259
-13.4532,17.8131,1.5103,1.5103
-14.0704,20.7325,1.5007,1.5007
-14.9483,23.5845,1.5026,1.5026
-16.0555,26.3557,1.5134,1.5134
-17.3761,29.0318,1.5327,1.5327
-18.9082,31.5925,1.5622,1.5622
-20.6662,34.0029,1.6083,1.6083
-22.6824,36.1994,1.6860,1.6860
-23.7987,37.1905,1.6166,1.6166
-26.3010,38.8014,1.5196,1.5196
-29.1774,39.4807,1.5618,1.5618
-30.6380,39.2341,1.6401,1.6401
-33.2024,37.7703,1.5003,1.5003
-35.2533,35.6069,1.5193,1.5193
-37.0330,33.2114,1.5413,1.5413
-38.6914,30.7296,1.5503,1.5503
-40.3243,28.2308,1.5473,1.5473
-42.0070,25.7654,1.5360,1.5360
-43.7246,23.3241,1.5397,1.5397
-45.3006,20.7913,1.5820,1.5820
-45.9197,19.4344,1.7124,1.7124
-46.5050,16.5392,1.5100,1.5100
-45.6487,13.7052,1.5690,1.5690
-44.0237,11.2077,1.6615,1.6615
-43.0980,10.0351,1.6657,1.6657
-41.1815,7.7466,1.6597,1.6597
-38.4632,4.1951,1.6168,1.6168
-37.0419,1.5767,1.5332,1.5332
-36.3165,-1.3056,1.5081,1.5081
-37.0896,-5.6630,1.6146,1.6146
-38.7610,-8.1035,1.5009,1.5009
-42.9689,-9.1460,1.5118,1.5118
-45.9110,-8.6494,1.5006,1.5006
-48.8571,-8.1775,1.5123,1.5123
-51.8313,-8.2674,1.5989,1.5989
-53.2885,-8.5860,1.6882,1.6882
-56.0669,-9.6541,1.5706,1.5706
-58.5933,-11.2354,1.5141,1.5141
-60.8266,-13.2113,1.5003,1.5003
-62.7411,-15.4979,1.5184,1.5184
-64.3047,-18.0369,1.5666,1.5666
-65.4609,-20.7839,1.6506,1.6506
-65.8682,-22.2198,1.6464,1.6464
-66.2744,-25.1698,1.5468,1.5468
