# x_m,y_m,w_tr_right_m,w_tr_left_m
-1048.3163,115.4576,150.0008,150.0008
-1333.8042,201.6246,150.7773,150.7773
-1610.2490,313.5845,152.5217,152.5217
-1879.2653,442.5074,153.9285,153.9285
-2145.5984,576.9430,153.9178,153.9178
-2415.8026,703.3070,152.2752,152.2752
-2695.8033,805.7869,150.3001,150.3001
-2987.1778,868.3496,150.6288,150.6288
-3283.1893,905.2018,150.2533,150.2533
-3573.9940,971.0981,150.2652,150.2652
-3856.5205,1066.5999,151.8112,151.8112
-4130.6495,1184.1712,153.7638,153.7638
-4398.0148,1316.4840,155.4050,155.4050
-4661.2120,1456.9497,156.3074,156.3074
-4923.2379,1599.6003,156.3286,156.3286
-5187.0989,1738.8088,155.4816,155.4816
-5455.5151,1868.9701,153.9659,153.9659
-5730.6062,1984.2808,152.1521,152.1521
-6013.5370,2078.6142,150.5596,150.5596
-6304.7696,2142.3817,150.1471,150.1471
-6602.1272,2160.1808,153.5836,153.5836
-6896.0241,2114.8647,164.6613,164.6613
-7037.0529,2066.5697,162.8282,162.8282
-7296.1037,1920.5179,152.6042,152.6042
-7520.7335,1724.7373,150.0693,150.0693
-7714.8963,1498.4874,150.7113,150.7113
-7881.6913,1251.3157,153.0622,153.0622
-8021.8149,988.1126,156.7596,156.7596
-8133.0712,711.5330,162.2670,162.2670
-8175.8929,568.5088,169.0665,169.0665
-8230.8956,275.8254,159.3098,159.3098
-8223.7390,-21.3759,150.5835,150.5835
-8103.8575,-289.4121,163.9425,163.9425
-7994.9413,-389.3999,155.0590,155.0590
-7714.6904,-484.9110,151.3570,151.3570
-7418.5942,-520.7937,153.0951,153.0951
-7122.8567,-559.2629,150.9172,150.9172
-6843.8605,-659.0111,155.4125,155.4125
-6619.7295,-1028.4660,151.0464,151.0464
-6615.5380,-1325.5747,161.7155,161.7155
-6742.4751,-1751.6509,154.1893,154.1893
-6901.0800,-2003.7982,150.1853,150.1853
-7095.1623,-2230.1752,150.2804,150.2804
-7306.0224,-2441.1972,150.8557,150.8557
-7518.9738,-2650.1312,150.5513,150.5513
-7718.1034,-2872.0908,150.0229,150.0229
-7877.7901,-3123.2540,154.3492,154.3492
-7957.2986,-3408.4018,173.2793,173.2793
-7964.4152,-3557.0522,154.7007,154.7007
-7869.2619,-3834.0317,158.3961,158.3961
-7763.8768,-3938.1745,161.6275,161.6275
-7497.1559,-4066.1336,150.0003,150.0003
-7202.2018,-4104.9425,154.3455,154.3455
-6906.5316,-4072.9975,165.8088,165.8088
-6762.9326,-4032.7856,162.4597,162.4597
-6492.7870,-3907.8062,153.5167,153.5167
-6248.7225,-3736.7614,150.3855,150.3855
-6028.2203,-3536.0046,150.0631,150.0631
-5825.7341,-3316.9828,150.7153,150.7153
-5635.2177,-3087.4222,151.3478,151.3478
-5450.7376,-2852.9599,151.5515,151.5515
-5265.9401,-2618.7494,151.1625,151.1625
-5072.9003,-2391.3362,150.2880,150.2880
-4860.0224,-2182.6334,150.4167,150.4167
-4609.3920,-2023.5067,160.3295,160.3295
-4175.2074,-2010.1251,151.7749,151.7749
-3913.0944,-2151.6942,157.1839,157.1839
-3637.7420,-2261.6894,150.0634,150.0634
-3341.7661,-2250.9669,162.5140,162.5140
-3198.6182,-2209.6397,164.1294,164.1294
-2932.8056,-2076.2554,153.4127,153.4127
-2700.8423,-1889.4670,150.0309,150.0309
-2510.8886,-1660.1761,152.6198,152.6198
-2352.6705,-1407.8953,150.1583,150.1583
-1950.1864,-1235.6208,157.3411,157.3411
-1652.4879,-1223.0594,151.8175,151.8175
-1355.4553,-1249.0571,150.1187,150.1187
-1062.7430,-1306.1493,150.2715,150.2715
-775.5097,-1386.5883,151.2245,151.2245
-492.6122,-1481.2807,152.0186,152.0186
-211.3230,-1580.6946,152.0767,152.0767
71.7488,-1674.8547,151.3229,151.3229
359.6109,-1752.9462,150.2683,150.2683
653.4143,-1803.9545,150.1277,150.1277
950.9386,-1824.1440,151.4657,151.4657
1249.0276,-1815.3324,153.9247,153.9247
1545.1463,-1779.9319,157.1673,157.1673
1837.3856,-1720.4346,160.9068,160.9068
2124.3648,-1639.2496,164.9038,164.9038
2265.7540,-1591.0930,168.1005,168.1005
2542.7244,-1480.5590,163.3184,163.3184
2804.7135,-1338.8319,155.2344,155.2344
3024.7031,-1139.4373,150.2817,150.2817
3145.6356,-870.0367,166.8044,166.8044
3169.1877,-722.9716,159.6560,159.6560
3127.2684,-431.1228,151.2970,151.2970
3041.2814,-310.5975,174.1742,174.1742
2803.9901,-137.3195,151.3344,151.3344
2519.1802,-50.3992,150.4401,150.4401
2224.1117,-7.3398,152.3827,152.3827
1926.4441,11.9160,154.1110,154.1110
1628.1737,17.4743,155.2654,155.2654
1329.8471,15.2562,155.8917,155.8917
1031.5680,9.2533,156.0636,156.0636
733.3032,2.5472,155.8498,155.8498
435.0023,-2.1793,155.2915,155.2915
136.6681,-2.2540,154.4331,154.4331
-161.5634,5.2655,153.2988,153.2988
-459.2900,23.9492,151.9824,151.9824
-755.5699,58.4936,150.7114,150.7114
