# x_m,y_m,w_tr_right_m,w_tr_left_m
-24.6698,-32.5789,1.4993,1.4993
-22.8635,-34.9182,1.6209,1.6209
-21.6779,-35.8025,1.6286,1.6286
-18.9803,-37.0423,1.5203,1.5203
-16.0845,-37.7315,1.5001,1.5001
-13.1273,-38.0866,1.5051,1.5051
-10.1523,-38.2416,1.5149,1.5149
-7.1732,-38.2827,1.5228,1.5228
-4.1938,-38.2731,1.5268,1.5268
-1.2144,-38.2670,1.5260,1.5260
1.7644,-38.3211,1.5198,1.5198
4.7419,-38.4193,1.5327,1.5327
7.6585,-37.9669,1.7226,1.7226
8.9969,-37.3535,1.5205,1.5205
11.2088,-35.3620,1.5002,1.5002
13.2555,-33.1974,1.5044,1.5044
15.2119,-30.9504,1.5095,1.5095
17.1305,-28.6710,1.5117,1.5117
19.0628,-26.4032,1.5099,1.5099
21.0611,-24.1936,1.5048,1.5048
23.1804,-22.1003,1.5003,1.5003
25.4779,-20.2057,1.5055,1.5055
28.0004,-18.6261,1.5390,1.5390
30.7556,-17.5086,1.6238,1.6238
35.1680,-16.8891,1.5689,1.5689
38.1437,-17.0155,1.5399,1.5399
41.1129,-17.2623,1.5420,1.5420
44.0883,-17.3942,1.5776,1.5776
47.0457,-17.1119,1.7000,1.7000
48.4759,-16.7318,1.5703,1.5703
51.0033,-15.1977,1.5057,1.5057
53.1594,-13.1429,1.5016,1.5016
55.7667,-11.7410,1.5703,1.5703
58.6588,-11.0428,1.6482,1.6482
61.5957,-10.5426,1.6380,1.6380
64.4546,-9.7353,1.5277,1.5277
66.5728,-7.7535,1.6689,1.6689
67.1251,-6.3874,1.5542,1.5542
67.3442,-3.4293,1.5015,1.5015
66.8727,-0.4916,1.5391,1.5391
65.9550,2.3398,1.6021,1.6021
64.6613,5.0193,1.6917,1.6917
63.8832,6.2816,1.6105,1.6105
61.9952,8.5797,1.5347,1.5347
60.0438,10.8276,1.5786,1.5786
58.3946,13.3066,1.6300,1.6300
56.9304,15.9009,1.6522,1.6522
55.5061,18.5178,1.6401,1.6401
53.9825,21.0773,1.5991,1.5991
52.2348,23.4876,1.5447,1.5447
50.1728,25.6335,1.5048,1.5048
47.7758,27.3957,1.5096,1.5096
45.0348,28.5063,1.6542,1.6542
43.5689,28.6309,1.5474,1.5474
40.8944,27.4502,1.5971,1.5971
39.8395,26.4131,1.6561,1.6561
38.1059,23.9981,1.5568,1.5568
36.6813,21.3822,1.5284,1.5284
35.3812,18.7015,1.5203,1.5203
34.0955,16.0138,1.5213,1.5213
32.7345,13.3637,1.5319,1.5319
31.2015,10.8104,1.5614,1.5614
29.3979,8.4422,1.6187,1.6187
26.1595,5.3676,1.6155,1.6155
23.6917,3.7035,1.5553,1.5553
21.0275,2.3748,1.5179,1.5179
18.2223,1.3761,1.5019,1.5019
15.3255,0.6845,1.5016,1.5016
12.3766,0.2661,1.5112,1.5112
9.4045,0.0641,1.5230,1.5230
6.4259,0.0021,1.5305,1.5305
3.4465,0.0064,1.5314,1.5314
0.4671,0.0050,1.5253,1.5253
-2.5111,-0.0747,1.5142,1.5142
-5.4807,-0.3094,1.5032,1.5032
-8.4217,-0.7794,1.5011,1.5011
-11.2945,-1.5622,1.5199,1.5199
-14.1655,-2.3073,1.5055,1.5055
-17.1300,-2.1058,1.5755,1.5755
-20.0334,-1.4437,1.6170,1.6170
-22.9131,-0.6795,1.6045,1.6045
-25.8383,-0.1322,1.5376,1.5376
-28.7765,-0.4068,1.5414,1.5414
-30.0363,-1.1611,1.6462,1.6462
-31.8822,-3.4643,1.5022,1.5022
-33.0694,-6.1896,1.5241,1.5241
-33.5285,-9.1188,1.6597,1.6597
-33.4444,-10.5961,1.5990,1.5990
-32.6612,-13.4610,1.5107,1.5107
-31.3635,-16.1408,1.5001,1.5001
-29.8681,-18.7176,1.5018,1.5018
-28.3930,-21.3059,1.5002,1.5002
-27.1355,-24.0050,1.5076,1.5076
-26.2744,-26.8546,1.5387,1.5387
-25.6108,-29.7590,1.5348,1.5348
