# x_m,y_m,w_tr_right_m,w_tr_left_m
7894.3865,-2723.0278,149.9208,149.9208
8163.9437,-2831.4142,178.7294,178.7294
8312.4867,-2833.2373,151.0015,151.0015
8593.7592,-2735.2623,152.5481,152.5481
8847.8877,-2578.3352,158.3266,158.3266
9081.0460,-2391.3620,163.4800,163.4800
9298.0922,-2185.8023,167.8107,167.8107
9401.6945,-2077.7539,165.5786,165.5786
9599.1440,-1853.2496,162.3295,162.3295
9783.3889,-1617.7875,159.2889,159.2889
9953.2916,-1371.7714,156.6341,156.6341
10108.8237,-1116.4118,154.5836,154.5836
10251.8042,-853.7954,153.2675,153.2675
10386.0998,-586.6133,152.6690,152.6690
10517.1264,-317.8048,152.7033,152.7033
10650.5845,-50.2009,153.3389,153.3389
10788.4704,215.1487,153.2085,153.2085
10906.2902,489.6850,150.3201,150.3201
10962.6553,782.4792,152.7134,152.7134
10948.2111,1080.4388,161.6636,161.6636
10918.5817,1227.0097,168.2579,168.2579
10824.5928,1510.3398,158.8385,158.8385
10688.3433,1776.1718,153.1688,153.1688
10516.0087,2020.2460,150.3494,150.3494
10310.9967,2237.5818,150.4206,150.4206
10074.8625,2420.4476,154.1702,154.1702
9810.8985,2560.0390,161.5427,161.5427
9530.3564,2662.9470,167.8167,167.8167
9386.9461,2705.8637,165.6635,165.6635
9098.6751,2785.3811,165.4508,165.4508
8672.9281,2924.9646,162.2612,162.2612
8398.7111,3042.2041,166.9516,166.9516
8253.4189,3071.7444,153.6206,153.6206
7981.7864,2966.3610,166.1470,166.1470
7873.5796,2863.8580,158.7051,158.7051
7704.5462,2617.9360,151.6695,151.6695
7570.1604,2350.9039,150.3200,150.3200
7452.2687,2076.1030,150.0615,150.0615
7341.1018,1798.4935,150.0301,150.0301
7229.7191,1520.9710,150.0977,150.0977
7111.4636,1246.3252,150.4317,150.4317
6978.0222,978.7948,151.7893,151.7893
6816.0703,727.8163,157.0187,157.0187
6473.8098,447.4420,151.7137,151.7137
6180.9923,399.4047,155.0735,155.0735
5744.2953,491.2747,162.6380,162.6380
5468.3062,605.9383,157.3850,157.3850
5201.6592,741.2037,154.9998,154.9998
4940.5691,886.9829,153.9620,153.9620
4681.7654,1036.8041,153.7014,153.7014
4422.2887,1185.4512,154.0973,154.0973
4159.1801,1327.5345,155.3431,155.3431
3889.2153,1455.9906,158.1516,158.1516
3608.9217,1559.4696,164.3087,164.3087
3464.0114,1596.4412,165.6345,165.6345
3167.3852,1624.3309,153.4137,153.4137
2878.5564,1555.3055,152.2933,152.2933
2645.0901,1374.5013,175.3464,175.3464
2556.5225,1254.9239,152.6095,152.6095
2450.9529,975.8183,150.0579,150.0579
2368.9868,688.2629,150.0092,150.0092
2233.5769,423.7783,159.6557,159.6557
1878.9068,158.7236,151.1611,151.1611
1593.5790,70.8124,150.3988,150.3988
1298.0988,25.8494,152.5040,152.5040
999.7723,6.0219,154.5945,154.5945
700.8026,0.2542,155.9686,155.9686
401.7629,0.7388,156.4908,156.4908
102.7233,1.0276,156.1208,156.1208
-196.2275,-5.5173,154.8342,154.8342
-494.4178,-27.1500,152.6966,152.6966
-789.1936,-76.2920,150.3859,150.3859
-1071.2693,-173.6602,151.6105,151.6105
-1309.8724,-349.5723,169.0318,169.0318
-1402.1452,-466.4830,155.8666,155.8666
-1509.5309,-743.9022,150.2335,150.2335
-1537.8317,-1040.9319,155.3610,155.3610
-1508.5023,-1338.0279,163.6913,163.6913
-1475.9676,-1484.0298,166.7583,166.7583
-1379.6063,-1766.6714,158.4129,158.4129
-1242.6641,-2032.1565,152.9544,152.9544
-1069.7750,-2275.8402,150.3211,150.3211
-864.2228,-2492.6655,150.4837,150.4837
-627.6365,-2674.9332,154.4621,154.4621
-361.6746,-2809.9710,164.5049,164.5049
-219.2282,-2855.0529,163.2769,163.2769
76.7600,-2886.1959,151.3310,151.3310
367.2742,-2821.3080,152.0442,152.0442
658.2099,-2765.9755,154.7717,154.7717
1064.8414,-2935.9724,151.3246,151.3246
1277.1779,-3145.7712,150.4471,150.4471
1453.5335,-3387.0235,152.9894,152.9894
1604.3836,-3645.1049,156.1007,156.1007
1735.9103,-3913.5934,159.1605,159.1605
1851.6275,-4189.2829,162.1503,162.1503
1953.1755,-4470.5029,165.2915,165.2915
2065.3910,-4746.7933,155.2247,155.2247
2252.2546,-4978.4368,150.2540,150.2540
2508.4917,-5127.0768,165.3357,165.3357
2653.5649,-5160.5909,158.0986,158.0986
2949.4648,-5136.1947,150.1663,150.1663
3216.2742,-5005.0283,161.0718,161.0718
3332.2612,-4910.8650,166.7910,166.7910
3534.5134,-4691.3558,157.5550,157.5550
3708.5493,-4448.3026,154.3835,154.3835
3870.5673,-4196.9613,153.8197,153.8197
4034.7786,-3947.0661,155.2491,155.2491
4216.2707,-3709.6516,160.3370,160.3370
4557.4943,-3423.3548,154.4749,154.4749
4841.7432,-3337.6002,151.6231,151.6231
5126.5732,-3256.3572,154.8944,154.8944
5358.9638,-3070.6648,171.2140,171.2140
5459.7288,-2960.1270,160.0851,160.0851
5642.9154,-2723.8390,157.5194,157.5194
5826.1516,-2487.5891,160.3539,160.3539
6157.6580,-2189.7233,155.0284,155.0284
6438.7942,-2093.6638,151.0284,151.0284
6736.7642,-2092.6955,160.7989,160.7989
7168.0516,-2209.0628,158.1324,158.1324
7434.6975,-2343.6866,152.5064,152.5064
7678.3763,-2516.4996,150.0529,150.0529
