# x_m,y_m,w_tr_right_m,w_tr_left_m
928.4754,-6229.1830,151.6914,151.6914
652.8211,-6117.3852,157.7953,157.7953
405.1472,-5953.5984,170.7453,170.7453
295.8455,-5852.6103,157.6335,157.6335
128.8097,-5607.4303,150.1431,150.1431
18.8235,-5330.7774,150.6296,150.6296
-77.9396,-5049.0149,150.2655,150.2655
-203.9415,-4779.5150,151.1782,151.1782
-384.7519,-4543.6428,158.8940,158.8940
-736.7717,-4272.2057,157.6442,157.6442
-1014.5691,-4167.7705,150.0916,150.0916
-1310.8176,-4146.7682,153.9519,153.9519
-1605.2541,-4189.4965,161.2088,161.2088
-1893.4397,-4264.6998,165.4721,165.4721
-2178.7712,-4350.4167,166.1925,166.1925
-2465.0950,-4432.7003,164.4319,164.4319
-2754.7089,-4502.3551,161.3168,161.3168
-3047.9113,-4554.8914,158.4599,158.4599
-3343.6074,-4590.9197,156.1017,156.1017
-3640.8538,-4610.3808,154.0524,154.0524
-3938.7211,-4611.5666,152.1236,152.1236
-4235.7973,-4590.3198,150.5223,150.5223
-4528.9250,-4538.1988,150.0929,150.0929
-4808.0748,-4436.3323,155.4649,155.4649
-4930.7339,-4352.8114,170.0727,170.0727
-5092.6253,-4112.2273,152.0733,152.0733
-5092.4836,-3964.5261,169.9774,169.9774
-5002.8445,-3683.7504,151.4559,151.4559
-4829.1153,-3442.7994,151.0822,151.0822
-4598.2015,-3256.3724,160.8751,160.8751
-4466.5696,-3186.7747,167.5459,167.5459
-4186.8764,-3085.9110,157.7422,157.7422
-3895.3164,-3025.5437,153.5244,153.5244
-3599.5810,-2989.8591,151.9307,151.9307
-3302.6105,-2966.0129,151.5457,151.5457
-3005.6908,-2941.5893,152.2079,152.2079
-2710.9612,-2899.1491,155.7051,155.7051
-2310.7489,-2716.5621,151.0091,151.0091
-2193.7372,-2299.2954,156.8056,156.8056
-2215.6399,-2002.2515,154.1266,154.1266
-2235.0587,-1705.0490,156.9588,156.9588
-2216.9069,-1408.1447,165.3961,165.3961
-2190.0028,-1261.5863,164.2927,164.2927
-2098.8841,-978.5340,155.2941,155.2941
-1955.4030,-718.0645,150.3561,150.3561
-1760.0545,-493.9705,151.6894,151.6894
-1520.0812,-318.5346,159.3554,159.3554
-1251.5408,-190.7536,169.1721,169.1721
-1110.8265,-141.5734,161.9444,161.9444
-821.7592,-70.3722,156.4542,156.4542
-526.9521,-28.0812,153.4248,153.4248
-229.8320,-6.7365,151.9017,151.9017
67.9872,0.8497,151.2172,151.2172
365.9165,1.0684,151.0023,151.0023
663.8462,-0.0318,151.1526,151.1526
961.7425,3.8543,151.7971,151.7971
1259.1881,20.0988,153.3815,153.3815
1554.5658,58.0170,156.9545,156.9545
1843.3397,129.8189,164.5441,164.5441
2241.9309,326.8249,153.9743,153.9743
2460.2511,528.3784,150.0013,150.0013
2632.8454,770.8696,152.0863,152.0863
2780.4653,1029.6057,153.8232,153.8232
2922.4933,1291.5018,153.5303,153.5303
3076.3058,1546.5501,151.4332,151.4332
3261.5749,1779.3286,150.1459,150.1459
3498.4485,1957.4955,159.2651,159.2651
3635.6347,2014.8727,167.0047,167.0047
3925.9568,2077.1171,155.0835,155.0835
4223.5017,2085.1635,151.1780,151.1780
4520.3145,2060.4618,150.1539,150.1539
