# x_m,y_m,w_tr_right_m,w_tr_left_m
4814.9350,2016.4438,149.9864,149.9864
5105.3693,1951.1826,151.3368,151.3368
5372.7916,1823.6066,163.8572,163.8572
5484.4679,1726.3057,157.4405,157.4405
5605.8534,1458.6562,152.7967,152.7967
5646.5242,1163.6630,155.8309,155.8309
5705.6288,872.3915,150.2369,150.2369
5869.6311,627.0692,161.4685,161.4685
6232.6402,369.8598,157.3084,157.3084
6496.2701,231.1042,156.0732,156.0732
6756.0781,85.5310,159.6902,159.6902
6877.9907,-0.0765,170.4380,170.4380
7083.8818,-212.4796,152.6728,152.6728
7176.5139,-492.5185,154.6797,154.6797
7204.4045,-789.0699,154.5745,154.5745
7298.7005,-1068.1385,153.7606,153.7606
7632.5757,-1359.4937,159.1409,159.1409
7886.2335,-1515.7296,159.0262,159.0262
8121.1066,-1697.0959,172.4508,172.4508
8219.1054,-1808.5485,153.7740,153.7740
8317.7979,-2086.4594,154.0860,154.0860
8306.9267,-2382.6840,169.3054,169.3054
8275.8544,-2528.3423,160.0165,160.0165
8174.0184,-2807.8914,153.4695,153.4695
8034.0687,-3070.6696,150.6531,150.6531
7864.6882,-3315.5794,150.0081,150.0081
7669.6083,-3540.5510,151.1060,151.1060
7449.5895,-3741.1052,154.4370,154.4370
7203.1707,-3907.7290,161.9368,161.9368
7069.3066,-3972.9682,166.6380,166.6380
6783.4604,-4051.1780,152.3426,152.3426
6489.8313,-4017.2059,153.8500,153.8500
6220.3118,-3891.9873,163.8249,163.8249
5967.6011,-3734.3010,166.6610,166.6610
5712.8756,-3579.9938,162.0208,162.0208
5441.4651,-3458.1954,154.3861,154.3861
5153.6918,-3382.4525,150.4795,150.4795
4857.5243,-3353.0290,150.4724,150.4724
4560.4258,-3370.1418,154.1964,154.1964
4270.1314,-3435.0309,162.0622,162.0622
3867.5137,-3624.4118,156.5745,156.5745
3637.7805,-3813.2064,150.6845,150.6845
3444.4735,-4039.5396,150.2238,150.2238
3280.4586,-4288.1073,151.8467,151.8467
3136.4965,-4548.8932,153.5611,153.5611
3003.7442,-4815.6028,154.5697,154.5697
2874.0869,-5083.8421,154.5392,154.5392
2739.3213,-5349.5309,153.4202,153.4202
2590.3040,-5607.4273,151.4924,151.4924
2416.0459,-5848.8153,150.0071,150.0071
2204.5853,-6057.9217,152.5300,152.5300
1949.9759,-6210.2572,164.4974,164.4974
1809.8189,-6260.2034,162.3393,162.3393
1516.3860,-6306.4338,152.5730,152.5730
1219.1838,-6292.7938,150.0222,150.0222
