# x_m,y_m,w_tr_right_m,w_tr_left_m
38.6474,-20.0829,1.4997,1.4997
35.8400,-21.0969,1.5043,1.5043
33.1396,-22.3673,1.5257,1.5257
30.6032,-23.9390,1.5684,1.5684
28.2330,-25.7535,1.6027,1.6027
25.9240,-27.6467,1.6048,1.6048
23.5605,-29.4701,1.5744,1.5744
21.0148,-31.0226,1.5172,1.5172
18.1603,-31.8144,1.5492,1.5492
16.6909,-31.6300,1.6557,1.6557
14.0433,-30.3115,1.5077,1.5077
11.5445,-28.6810,1.5341,1.5341
7.2457,-27.6108,1.5713,1.5713
4.2750,-27.8505,1.5102,1.5102
1.3647,-28.5123,1.5003,1.5003
-1.4975,-29.3622,1.5003,1.5003
-4.3547,-30.2291,1.5000,1.5000
-7.2534,-30.9411,1.5061,1.5061
-10.2184,-31.2436,1.5575,1.5575
-11.7010,-31.0963,1.7273,1.7273
-14.4944,-30.1251,1.5257,1.5257
-16.8041,-28.2471,1.5044,1.5044
-18.7179,-25.9583,1.5313,1.5313
-20.3759,-23.4768,1.5667,1.5667
-21.7380,-20.8233,1.6341,1.6341
-22.2671,-19.4272,1.6652,1.6652
-22.9197,-16.5222,1.5519,1.5519
-22.8206,-13.5491,1.5002,1.5002
-21.9159,-10.7122,1.5501,1.5501
-20.4193,-8.1358,1.6446,1.6446
-19.5051,-6.9554,1.6541,1.6541
-17.4027,-4.8425,1.5649,1.5649
-14.9667,-3.1236,1.5115,1.5115
-12.2736,-1.8420,1.5006,1.5006
-9.4202,-0.9700,1.5200,1.5200
-6.4848,-0.4310,1.5502,1.5502
-3.5140,-0.1383,1.5784,1.5784
-0.5312,-0.0119,1.5989,1.5989
2.4545,0.0159,1.6098,1.6098
5.4404,0.0031,1.6112,1.6112
8.4262,0.0014,1.6035,1.6035
11.4115,0.0570,1.5890,1.5890
14.3932,0.2090,1.5697,1.5697
17.3644,0.5004,1.5465,1.5465
20.3104,0.9816,1.5225,1.5225
23.2033,1.7158,1.5043,1.5043
25.9925,2.7754,1.5031,1.5031
28.5943,4.2329,1.5381,1.5381
30.8928,6.1294,1.6262,1.6262
33.5909,9.6826,1.5734,1.5734
35.2741,12.1361,1.6876,1.6876
36.3277,13.1907,1.5891,1.5891
38.7705,14.8990,1.5231,1.5231
41.3896,16.3320,1.5129,1.5129
43.9948,17.7898,1.5290,1.5290
46.4061,19.5424,1.5997,1.5997
49.1979,23.0115,1.5667,1.5667
50.5792,25.6574,1.5354,1.5354
51.8781,28.3459,1.5410,1.5410
53.3879,30.9171,1.6075,1.6075
54.3470,32.0570,1.6528,1.6528
56.8491,33.5976,1.5063,1.5063
59.8198,33.7609,1.5964,1.5964
62.7894,33.9420,1.5068,1.5068
65.3828,35.3531,1.6094,1.6094
68.0644,38.9013,1.5442,1.5442
69.3297,41.6043,1.5156,1.5156
70.4118,44.3870,1.5078,1.5078
71.4426,47.1893,1.5080,1.5080
72.5395,49.9661,1.5161,1.5161
73.8515,52.6460,1.5503,1.5503
75.6257,55.0298,1.6921,1.6921
76.7498,56.0037,1.5580,1.5580
79.5456,56.9211,1.5470,1.5470
82.5213,56.7546,1.6327,1.6327
85.4907,56.4531,1.5926,1.5926
88.4496,56.7245,1.5005,1.5005
91.1675,57.9338,1.5462,1.5462
