# x_m,y_m,w_tr_right_m,w_tr_left_m
93.5522,59.7233,1.6252,1.6252
96.7626,62.8414,1.6716,1.6716
97.8068,63.9106,1.6763,1.6763
99.9526,65.9858,1.6389,1.6389
102.2890,67.8394,1.5668,1.5668
104.9318,69.2106,1.5021,1.5021
107.8526,69.7650,1.5454,1.5454
110.8211,69.5344,1.6550,1.6550
112.2734,69.1919,1.6308,1.6308
114.9992,68.0022,1.5186,1.5186
117.2189,66.0284,1.5244,1.5244
118.6742,63.4386,1.6638,1.6638
119.1440,62.0227,1.6180,1.6180
119.6455,59.0845,1.5402,1.5402
119.7239,56.1014,1.5109,1.5109
119.5197,53.1233,1.5015,1.5015
119.1221,50.1644,1.5001,1.5001
118.5872,47.2270,1.5014,1.5014
117.9545,44.3091,1.5036,1.5036
117.2516,41.4072,1.5057,1.5057
116.4996,38.5176,1.5074,1.5074
115.7156,35.6364,1.5083,1.5083
114.9144,32.7601,1.5085,1.5085
114.1095,29.8847,1.5080,1.5080
113.3142,27.0067,1.5068,1.5068
112.5425,24.1223,1.5051,1.5051
111.8102,21.2276,1.5030,1.5030
111.1362,18.3189,1.5011,1.5011
110.5446,15.3923,1.5000,1.5000
110.0684,12.4449,1.5017,1.5017
109.7547,9.4761,1.5097,1.5097
109.6391,6.4929,1.5214,1.5214
109.5804,3.5077,1.5179,1.5179
109.3715,0.5300,1.5042,1.5042
108.8970,-2.4169,1.5001,1.5001
108.1612,-5.3097,1.5071,1.5071
107.1793,-8.1285,1.5238,1.5238
105.9681,-10.8566,1.5491,1.5491
104.5461,-13.4811,1.5806,1.5806
102.9307,-15.9911,1.6176,1.6176
101.1395,-18.3788,1.6584,1.6584
100.1820,-19.5261,1.6710,1.6710
98.1583,-21.7203,1.6310,1.6310
95.9953,-23.7776,1.5968,1.5968
93.7066,-25.6942,1.5681,1.5681
91.3042,-27.4664,1.5450,1.5450
88.7992,-29.0903,1.5264,1.5264
86.2021,-30.5627,1.5127,1.5127
83.5135,-31.8599,1.5023,1.5023
80.7237,-32.9205,1.5011,1.5011
77.8287,-33.6406,1.5235,1.5235
74.8572,-33.8490,1.6067,1.6067
73.3748,-33.6885,1.6678,1.6678
70.5498,-32.7731,1.5258,1.5258
68.0544,-31.1439,1.5002,1.5002
65.8366,-29.1468,1.5112,1.5112
63.7686,-26.9934,1.5195,1.5195
61.7310,-24.8109,1.5163,1.5163
59.6136,-22.7063,1.5053,1.5053
57.3058,-20.8151,1.5018,1.5018
54.7119,-19.3493,1.5525,1.5525
50.3785,-18.3132,1.6226,1.6226
47.3967,-18.2771,1.5504,1.5504
44.4328,-18.6237,1.5168,1.5168
41.5141,-19.2497,1.5035,1.5035
