# x_m,y_m,w_tr_right_m,w_tr_left_m
66.0614,-43.7185,1.4997,1.4997
68.0193,-41.4608,1.5025,1.5025
70.1001,-39.3155,1.5079,1.5079
72.2707,-37.2610,1.5134,1.5134
74.5003,-35.2704,1.5170,1.5170
76.7605,-33.3145,1.5178,1.5178
79.0248,-31.3636,1.5157,1.5157
81.2684,-29.3887,1.5113,1.5113
83.4668,-27.3638,1.5060,1.5060
85.5955,-25.2659,1.5015,1.5015
87.6304,-23.0771,1.5000,1.5000
89.5292,-20.7698,1.5065,1.5065
91.1501,-18.2624,1.5461,1.5461
92.2312,-15.4890,1.6808,1.6808
92.4972,-14.0270,1.5845,1.5845
93.0039,-9.6109,1.6078,1.6078
94.6759,-7.1689,1.5013,1.5013
97.0808,-5.4062,1.5544,1.5544
99.7418,-4.0489,1.6003,1.6003
102.4897,-2.8736,1.6175,1.6175
105.2546,-1.7382,1.6113,1.6113
107.9916,-0.5379,1.5872,1.5872
110.6540,0.8186,1.5521,1.5521
113.1776,2.4168,1.5166,1.5166
115.4721,4.3276,1.5001,1.5001
117.3530,6.6396,1.5495,1.5495
117.9829,7.9833,1.7210,1.7210
118.3730,10.8970,1.5004,1.5004
117.3375,13.6905,1.5451,1.5451
116.6733,16.5629,1.5481,1.5481
118.6405,20.4957,1.5073,1.5073
120.8536,22.4992,1.5033,1.5033
123.2992,24.2158,1.5176,1.5176
125.8519,25.7701,1.5277,1.5277
128.3933,27.3398,1.5035,1.5035
130.1652,29.6727,1.6816,1.6816
130.5653,31.0994,1.5585,1.5585
130.5329,34.0761,1.5000,1.5000
129.7909,36.9659,1.5371,1.5371
128.4926,39.6501,1.6357,1.6357
127.6374,40.8672,1.6388,1.6388
125.4224,42.8391,1.5004,1.5004
122.5431,43.2380,1.7784,1.7784
121.0958,42.9164,1.5214,1.5214
118.4107,41.6115,1.5000,1.5000
115.8200,40.1210,1.5001,1.5001
113.1578,38.7633,1.5038,1.5038
110.4137,37.5799,1.5119,1.5119
107.6075,36.5517,1.5219,1.5219
104.7599,35.6440,1.5300,1.5300
101.8898,34.8095,1.5333,1.5333
99.0141,33.9949,1.5310,1.5310
96.1477,33.1479,1.5244,1.5244
93.2982,32.2455,1.5183,1.5183
90.4663,31.2897,1.5132,1.5132
87.6524,30.2821,1.5090,1.5090
84.8575,29.2227,1.5055,1.5055
82.0833,28.1105,1.5028,1.5028
79.3318,26.9429,1.5010,1.5010
76.5987,25.7330,1.5005,1.5005
73.8574,24.5420,1.5012,1.5012
71.0800,23.4381,1.5045,1.5045
68.2502,22.4772,1.5124,1.5124
65.3663,21.6939,1.5264,1.5264
62.4379,21.0984,1.5446,1.5446
59.4824,20.6540,1.5578,1.5578
56.5143,20.3027,1.5656,1.5656
53.5405,20.0024,1.5683,1.5683
50.5649,19.7201,1.5664,1.5664
47.5906,19.4251,1.5602,1.5602
44.6211,19.0853,1.5498,1.5498
41.6625,18.6614,1.5354,1.5354
38.7274,18.0992,1.5176,1.5176
35.8451,17.3129,1.5022,1.5022
33.0957,16.1509,1.5130,1.5130
30.7470,14.3379,1.6651,1.6651
29.8630,13.1494,1.5623,1.5623
29.1493,10.2859,1.5368,1.5368
29.5869,7.3381,1.6435,1.6435
29.8159,4.3809,1.5034,1.5034
27.0027,1.1330,1.5066,1.5066
24.1429,0.2895,1.5157,1.5157
21.1784,-0.0783,1.5459,1.5459
18.1929,-0.2107,1.5660,1.5660
15.2041,-0.2173,1.5773,1.5773
12.2157,-0.1597,1.5813,1.5813
9.2279,-0.0784,1.5800,1.5800
6.2398,-0.0054,1.5740,1.5740
3.2512,0.0307,1.5643,1.5643
0.2624,0.0052,1.5524,1.5524
-2.7243,-0.1065,1.5384,1.5384
-5.7037,-0.3402,1.5224,1.5224
-8.6633,-0.7526,1.5067,1.5067
-11.5680,-1.4485,1.5008,1.5008
-14.2924,-2.6545,1.5648,1.5648
