# x_m,y_m,w_tr_right_m,w_tr_left_m
-15.4426,-3.5884,1.6705,1.6705
-16.7692,-6.1758,1.5364,1.5364
-16.6722,-7.6519,1.6897,1.6897
-15.7014,-10.4555,1.5228,1.5228
-13.9324,-12.8509,1.5104,1.5104
-11.5651,-14.6584,1.6070,1.6070
-10.2387,-15.3333,1.6818,1.6818
-7.4242,-16.3214,1.5789,1.5789
-4.4908,-16.8827,1.5300,1.5300
-1.5131,-17.1286,1.5081,1.5081
1.4752,-17.1372,1.5006,1.5006
4.4587,-16.9633,1.5005,1.5005
7.4316,-16.6548,1.5032,1.5032
10.4023,-16.3255,1.5020,1.5020
13.3850,-16.1500,1.5008,1.5008
16.3580,-16.3976,1.5394,1.5394
20.3400,-18.3309,1.5454,1.5454
22.3894,-20.5022,1.5087,1.5087
24.3635,-22.7455,1.5232,1.5232
26.6509,-24.6579,1.6105,1.6105
29.1999,-26.2170,1.6499,1.6499
31.6781,-27.8798,1.5690,1.5690
33.6319,-30.1209,1.5003,1.5003
34.8692,-32.8338,1.5436,1.5436
35.6062,-35.7275,1.6002,1.6002
36.0498,-38.6823,1.6381,1.6381
36.3470,-41.6563,1.6530,1.6530
36.6108,-44.6335,1.6457,1.6457
36.9494,-47.6028,1.6161,1.6161
37.4939,-50.5400,1.5646,1.5646
38.4376,-53.3709,1.5080,1.5080
40.0580,-55.8655,1.5377,1.5377
41.1967,-56.8168,1.7371,1.7371
43.8585,-58.1186,1.5374,1.5374
46.8041,-58.5744,1.5004,1.5004
49.7741,-58.3166,1.5543,1.5543
52.6090,-57.3956,1.6693,1.6693
53.9453,-56.7392,1.6252,1.6252
56.4320,-55.0889,1.5463,1.5463
58.6499,-53.0889,1.5097,1.5097
60.6328,-50.8538,1.5003,1.5003
62.4618,-48.4901,1.5007,1.5007
64.2365,-46.0851,1.5010,1.5010
