# x_m,y_m,w_tr_right_m,w_tr_left_m
78.9439,-27.2303,1.4992,1.4992
81.6394,-28.3141,1.7873,1.7873
83.1249,-28.3324,1.5100,1.5100
85.9376,-27.3526,1.5255,1.5255
88.4789,-25.7834,1.5833,1.5833
90.8105,-23.9136,1.6348,1.6348
92.9809,-21.8580,1.6781,1.6781
94.0169,-20.7775,1.6558,1.6558
95.9914,-18.5325,1.6233,1.6233
97.8339,-16.1779,1.5929,1.5929
99.5329,-13.7177,1.5663,1.5663
101.0882,-11.1641,1.5458,1.5458
102.5180,-8.5380,1.5327,1.5327
103.8610,-5.8661,1.5267,1.5267
105.1713,-3.1780,1.5270,1.5270
106.5058,-0.5020,1.5334,1.5334
107.8847,2.1515,1.5321,1.5321
109.0629,4.8969,1.5032,1.5032
109.6266,7.8248,1.5271,1.5271
109.4821,10.8044,1.6166,1.6166
109.1858,12.2701,1.6826,1.6826
108.2459,15.1034,1.5884,1.5884
106.8834,17.7617,1.5317,1.5317
105.1601,20.2025,1.5035,1.5035
103.1100,22.3758,1.5042,1.5042
100.7486,24.2045,1.5417,1.5417
98.1090,25.6004,1.6154,1.6154
95.3036,26.6295,1.6782,1.6782
93.8695,27.0586,1.6566,1.6566
90.9868,27.8538,1.6545,1.6545
86.7293,29.2496,1.6226,1.6226
83.9871,30.4220,1.6695,1.6695
82.5342,30.7174,1.5362,1.5362
79.8179,29.6636,1.6615,1.6615
78.7358,28.6386,1.5871,1.5871
77.0455,26.1794,1.5167,1.5167
75.7016,23.5090,1.5032,1.5032
74.5227,20.7610,1.5006,1.5006
73.4110,17.9849,1.5003,1.5003
72.2972,15.2097,1.5010,1.5010
71.1146,12.4633,1.5043,1.5043
69.7802,9.7879,1.5179,1.5179
68.1607,7.2782,1.5702,1.5702
64.7381,4.4744,1.5171,1.5171
61.8099,3.9940,1.5507,1.5507
57.4430,4.9127,1.6264,1.6264
54.6831,6.0594,1.5738,1.5738
52.0166,7.4120,1.5500,1.5500
49.4057,8.8698,1.5396,1.5396
46.8177,10.3680,1.5370,1.5370
44.2229,11.8545,1.5410,1.5410
41.5918,13.2753,1.5534,1.5534
38.8922,14.5599,1.5815,1.5815
36.0892,15.5947,1.6431,1.6431
34.6401,15.9644,1.6563,1.6563
31.6739,16.2433,1.5341,1.5341
28.7856,15.5531,1.5229,1.5229
26.4509,13.7450,1.7535,1.7535
25.5652,12.5492,1.5261,1.5261
24.5095,9.7582,1.5006,1.5006
23.6899,6.8826,1.5001,1.5001
22.3358,4.2378,1.5966,1.5966
18.7891,1.5872,1.5116,1.5116
15.9358,0.7081,1.5040,1.5040
12.9810,0.2585,1.5250,1.5250
9.9977,0.0602,1.5459,1.5459
7.0080,0.0025,1.5597,1.5597
4.0176,0.0074,1.5649,1.5649
1.0272,0.0103,1.5612,1.5612
-1.9623,-0.0552,1.5483,1.5483
-4.9442,-0.2715,1.5270,1.5270
-7.8919,-0.7629,1.5039,1.5039
-10.7127,-1.7366,1.5161,1.5161
-13.0987,-3.4957,1.6903,1.6903
-14.0215,-4.6648,1.5587,1.5587
-15.0953,-7.4390,1.5023,1.5023
-15.3783,-10.4093,1.5536,1.5536
-15.0850,-13.3803,1.6369,1.6369
-14.7597,-14.8403,1.6676,1.6676
-13.7961,-17.6667,1.5841,1.5841
-12.4266,-20.3216,1.5295,1.5295
-10.6978,-22.7584,1.5032,1.5032
-8.6422,-24.9267,1.5048,1.5048
-6.2764,-26.7493,1.5446,1.5446
-3.6167,-28.0997,1.6450,1.6450
-2.1923,-28.5505,1.6328,1.6328
0.7676,-28.8620,1.5133,1.5133
3.6727,-28.2131,1.5204,1.5204
6.5821,-27.6598,1.5477,1.5477
10.6484,-29.3597,1.5132,1.5132
12.7718,-31.4577,1.5045,1.5045
14.5353,-33.8702,1.5299,1.5299
16.0438,-36.4510,1.5610,1.5610
17.3591,-39.1359,1.5916,1.5916
18.5163,-41.8928,1.6215,1.6215
19.5318,-44.7050,1.6529,1.6529
20.6539,-47.4679,1.5522,1.5522
22.5225,-49.7844,1.5025,1.5025
25.0849,-51.2708,1.6534,1.6534
26.5356,-51.6059,1.5810,1.5810
29.4946,-51.3619,1.5017,1.5017
32.1627,-50.0503,1.6107,1.6107
33.3226,-49.1086,1.6679,1.6679
35.3451,-46.9136,1.5755,1.5755
37.0855,-44.4830,1.5438,1.5438
38.7057,-41.9696,1.5382,1.5382
40.3478,-39.4707,1.5525,1.5525
42.1627,-37.0965,1.6034,1.6034
45.5749,-34.2335,1.5447,1.5447
48.4174,-33.3760,1.5162,1.5162
51.2657,-32.5636,1.5489,1.5489
53.5896,-30.7066,1.7121,1.7121
54.5973,-29.6013,1.6009,1.6009
56.4292,-27.2384,1.5752,1.5752
58.2615,-24.8759,1.6035,1.6035
61.5766,-21.8972,1.5503,1.5503
64.3879,-20.9366,1.5103,1.5103
67.3676,-20.9270,1.6080,1.6080
71.6805,-22.0906,1.5813,1.5813
74.3470,-23.4369,1.5251,1.5251
76.7838,-25.1650,1.5005,1.5005
