# x_m,y_m,w_tr_right_m,w_tr_left_m
48.1493,20.1644,1.4999,1.4999
51.0537,19.5118,1.5134,1.5134
53.7279,18.2361,1.6386,1.6386
54.8447,17.2631,1.5744,1.5744
56.0585,14.5866,1.5280,1.5280
56.4652,11.6366,1.5583,1.5583
57.0563,8.7239,1.5024,1.5024
58.6963,6.2707,1.6147,1.6147
62.3264,3.6986,1.5731,1.5731
64.9627,2.3110,1.5607,1.5607
67.5608,0.8553,1.5969,1.5969
68.7799,-0.0008,1.7044,1.7044
70.8388,-2.1248,1.5267,1.5267
71.7651,-4.9252,1.5468,1.5468
72.0440,-7.8907,1.5457,1.5457
72.9870,-10.6814,1.5376,1.5376
76.3258,-13.5949,1.5914,1.5914
78.8623,-15.1573,1.5903,1.5903
81.2111,-16.9710,1.7245,1.7245
82.1911,-18.0855,1.5377,1.5377
83.1780,-20.8646,1.5409,1.5409
83.0693,-23.8268,1.6931,1.6931
82.7585,-25.2834,1.6002,1.6002
81.7402,-28.0789,1.5347,1.5347
80.3407,-30.7067,1.5065,1.5065
78.6469,-33.1558,1.5001,1.5001
76.6961,-35.4055,1.5111,1.5111
74.4959,-37.4111,1.5444,1.5444
72.0317,-39.0773,1.6194,1.6194
70.6931,-39.7297,1.6664,1.6664
67.8346,-40.5118,1.5234,1.5234
64.8983,-40.1721,1.5385,1.5385
62.2031,-38.9199,1.6382,1.6382
59.6760,-37.3430,1.6666,1.6666
57.1288,-35.7999,1.6202,1.6202
54.4147,-34.5820,1.5439,1.5439
51.5369,-33.8245,1.5048,1.5048
48.5752,-33.5303,1.5047,1.5047
45.6043,-33.7014,1.5420,1.5420
42.7013,-34.3503,1.6206,1.6206
38.6751,-36.2441,1.5657,1.5657
36.3778,-38.1321,1.5068,1.5068
34.4447,-40.3954,1.5022,1.5022
32.8046,-42.8811,1.5185,1.5185
31.3650,-45.4889,1.5356,1.5356
30.0374,-48.1560,1.5457,1.5457
28.7409,-50.8384,1.5454,1.5454
27.3932,-53.4953,1.5342,1.5342
25.9030,-56.0743,1.5149,1.5149
24.1605,-58.4882,1.5001,1.5001
22.0459,-60.5792,1.5253,1.5253
19.4998,-62.1026,1.6450,1.6450
18.0982,-62.6020,1.6234,1.6234
15.1639,-63.0643,1.5257,1.5257
12.1918,-62.9279,1.5002,1.5002
9.2848,-62.2918,1.5169,1.5169
6.5282,-61.1739,1.5780,1.5780
4.0515,-59.5360,1.7075,1.7075
2.9585,-58.5261,1.5763,1.5763
1.2881,-56.0743,1.5014,1.5014
0.1882,-53.3078,1.5063,1.5063
-0.7794,-50.4901,1.5027,1.5027
-2.0394,-47.7952,1.5118,1.5118
-3.8475,-45.4364,1.5889,1.5889
-7.3677,-42.7221,1.5764,1.5764
-10.1457,-41.6777,1.5009,1.5009
-13.1082,-41.4677,1.5395,1.5395
-16.0525,-41.8950,1.6121,1.6121
-18.9344,-42.6470,1.6547,1.6547
-21.7877,-43.5042,1.6619,1.6619
-24.6509,-44.3270,1.6443,1.6443
-27.5471,-45.0236,1.6132,1.6132
-30.4791,-45.5489,1.5846,1.5846
-33.4361,-45.9092,1.5610,1.5610
-36.4085,-46.1038,1.5405,1.5405
-39.3872,-46.1157,1.5212,1.5212
-42.3580,-45.9032,1.5052,1.5052
-45.2893,-45.3820,1.5009,1.5009
-48.0807,-44.3633,1.5546,1.5546
-49.3073,-43.5281,1.7007,1.7007
-50.9263,-41.1223,1.5207,1.5207
-50.9248,-39.6453,1.6998,1.6998
-50.0284,-36.8375,1.5146,1.5146
-48.2912,-34.4280,1.5108,1.5108
-45.9820,-32.5637,1.6088,1.6088
-44.6657,-31.8677,1.6755,1.6755
-41.8688,-30.8591,1.5774,1.5774
-38.9532,-30.2554,1.5352,1.5352
-35.9958,-29.8986,1.5193,1.5193
-33.0261,-29.6601,1.5155,1.5155
-30.0569,-29.4159,1.5221,1.5221
-27.1096,-28.9915,1.5571,1.5571
-23.1075,-27.1656,1.5101,1.5101
-21.9374,-22.9930,1.5681,1.5681
-22.1564,-20.0225,1.5413,1.5413
-22.3506,-17.0505,1.5696,1.5696
-22.1691,-14.0814,1.6540,1.6540
-21.9000,-12.6159,1.6429,1.6429
-20.9888,-9.7853,1.5529,1.5529
-19.5540,-7.1806,1.5036,1.5036
-17.6005,-4.9397,1.5169,1.5169
-15.2008,-3.1853,1.5936,1.5936
-12.5154,-1.9075,1.6917,1.6917
-11.1083,-1.4157,1.6194,1.6194
-8.2176,-0.7037,1.5645,1.5645
-5.2695,-0.2808,1.5342,1.5342
-2.2983,-0.0674,1.5190,1.5190
0.6799,0.0085,1.5122,1.5122
3.6592,0.0107,1.5100,1.5100
6.6385,-0.0003,1.5115,1.5115
9.6174,0.0385,1.5180,1.5180
12.5919,0.2010,1.5338,1.5338
15.5457,0.5802,1.5695,1.5695
18.4334,1.2982,1.6454,1.6454
22.4193,3.2682,1.5397,1.5397
24.6025,5.2838,1.5000,1.5000
26.3285,7.7087,1.5209,1.5209
27.8047,10.2961,1.5382,1.5382
29.2249,12.9150,1.5353,1.5353
30.7631,15.4655,1.5143,1.5143
32.6157,17.7933,1.5015,1.5015
34.9845,19.5750,1.5927,1.5927
36.3563,20.1487,1.6700,1.6700
39.2596,20.7712,1.5508,1.5508
42.2350,20.8516,1.5118,1.5118
45.2031,20.6046,1.5015,1.5015
