# x_m,y_m,w_tr_right_m,w_tr_left_m
-10.4832,1.1546,1.5000,1.5000
-13.3380,2.0162,1.5078,1.5078
-16.1025,3.1358,1.5252,1.5252
-18.7927,4.4251,1.5393,1.5393
-21.4560,5.7694,1.5392,1.5392
-24.1580,7.0331,1.5228,1.5228
-26.9580,8.0579,1.5030,1.5030
-29.8718,8.6835,1.5063,1.5063
-32.8319,9.0520,1.5025,1.5025
-35.7399,9.7110,1.5027,1.5027
-38.5652,10.6660,1.5181,1.5181
-41.3065,11.8417,1.5376,1.5376
-43.9801,13.1648,1.5541,1.5541
-46.6121,14.5695,1.5631,1.5631
-49.2324,15.9960,1.5633,1.5633
-51.8710,17.3881,1.5548,1.5548
-54.5552,18.6897,1.5397,1.5397
-57.3061,19.8428,1.5215,1.5215
-60.1354,20.7861,1.5056,1.5056
-63.0477,21.4238,1.5015,1.5015
-66.0213,21.6018,1.5358,1.5358
-68.9602,21.1486,1.6466,1.6466
-70.3705,20.6657,1.6283,1.6283
-72.9610,19.2052,1.5260,1.5260
-75.2073,17.2474,1.5007,1.5007
-77.1490,14.9849,1.5071,1.5071
-78.8169,12.5132,1.5306,1.5306
-80.2181,9.8811,1.5676,1.5676
-81.3307,7.1153,1.6227,1.6227
-81.7589,5.6851,1.6907,1.6907
-82.3090,2.7583,1.5931,1.5931
-82.2374,-0.2138,1.5058,1.5058
-81.0386,-2.8941,1.6394,1.6394
-79.9494,-3.8940,1.5506,1.5506
-77.1469,-4.8491,1.5136,1.5136
-74.1859,-5.2079,1.5310,1.5310
-71.2286,-5.5926,1.5092,1.5092
-68.4386,-6.5901,1.5541,1.5541
-66.1973,-10.2847,1.5105,1.5105
-66.1554,-13.2557,1.6172,1.6172
-67.4248,-17.5165,1.5419,1.5419
-69.0108,-20.0380,1.5019,1.5019
-70.9516,-22.3018,1.5028,1.5028
-73.0602,-24.4120,1.5086,1.5086
-75.1897,-26.5013,1.5055,1.5055
-77.1810,-28.7209,1.5002,1.5002
-78.7779,-31.2325,1.5435,1.5435
-79.5730,-34.0840,1.7328,1.7328
-79.6442,-35.5705,1.5470,1.5470
-78.6926,-38.3403,1.5840,1.5840
-77.6388,-39.3817,1.6163,1.6163
-74.9716,-40.6613,1.5000,1.5000
-72.0220,-41.0494,1.5435,1.5435
-69.0653,-40.7300,1.6581,1.6581
-67.6293,-40.3279,1.6246,1.6246
-64.9279,-39.0781,1.5352,1.5352
-62.4872,-37.3676,1.5039,1.5039
-60.2822,-35.3600,1.5006,1.5006
-58.2573,-33.1698,1.5072,1.5072
-56.3522,-30.8742,1.5135,1.5135
-54.5074,-28.5296,1.5155,1.5155
-52.6594,-26.1875,1.5116,1.5116
-50.7290,-23.9134,1.5029,1.5029
-48.6002,-21.8263,1.5042,1.5042
-46.0939,-20.2351,1.6033,1.6033
-41.7521,-20.1013,1.5177,1.5177
-39.1309,-21.5169,1.5718,1.5718
-36.3774,-22.6169,1.5006,1.5006
-33.4177,-22.5097,1.6251,1.6251
-31.9862,-22.0964,1.6413,1.6413
-29.3281,-20.7626,1.5341,1.5341
-27.0084,-18.8947,1.5003,1.5003
-25.1089,-16.6018,1.5262,1.5262
-23.5267,-14.0790,1.5016,1.5016
-19.5019,-12.3562,1.5734,1.5734
-16.5249,-12.2306,1.5182,1.5182
-13.5546,-12.4906,1.5012,1.5012
-10.6274,-13.0615,1.5027,1.5027
-7.7551,-13.8659,1.5122,1.5122
-4.9261,-14.8128,1.5202,1.5202
-2.1132,-15.8069,1.5208,1.5208
0.7175,-16.7485,1.5132,1.5132
3.5961,-17.5295,1.5027,1.5027
6.5341,-18.0395,1.5013,1.5013
9.5094,-18.2414,1.5147,1.5147
12.4903,-18.1533,1.5392,1.5392
15.4515,-17.7993,1.5717,1.5717
18.3739,-17.2043,1.6091,1.6091
21.2436,-16.3925,1.6490,1.6490
22.6575,-15.9109,1.6810,1.6810
25.4272,-14.8056,1.6332,1.6332
28.0471,-13.3883,1.5523,1.5523
30.2470,-11.3944,1.5028,1.5028
31.4564,-8.7004,1.6680,1.6680
31.6919,-7.2297,1.5966,1.5966
31.2727,-4.3112,1.5130,1.5130
30.4128,-3.1060,1.7417,1.7417
28.0399,-1.3732,1.5133,1.5133
25.1918,-0.5040,1.5044,1.5044
22.2411,-0.0734,1.5238,1.5238
19.2644,0.1192,1.5411,1.5411
16.2817,0.1747,1.5527,1.5527
13.2985,0.1526,1.5589,1.5589
10.3157,0.0925,1.5606,1.5606
7.3330,0.0255,1.5585,1.5585
4.3500,-0.0218,1.5529,1.5529
1.3667,-0.0225,1.5443,1.5443
-1.6156,0.0527,1.5330,1.5330
-4.5929,0.2395,1.5198,1.5198
-7.5557,0.5849,1.5071,1.5071
