epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,3783.48,0.75336,0.3751,0.81374,0.78884,0.61439,0.67869,0.4584,0.82203,0.39272,0.80784,0.00134733,0.00134733,0.00134733
180,3804.3,0.74944,0.37394,0.81505,0.78885,0.61427,0.67847,0.45866,0.82209,0.39288,0.80788,0.00132413,0.00132413,0.00132413
181,3825.29,0.7484,0.37499,0.81437,0.78843,0.61453,0.67878,0.45877,0.82205,0.39269,0.80784,0.00130196,0.00130196,0.00130196
182,3846.25,0.75185,0.37406,0.81333,0.78879,0.61451,0.67857,0.4586,0.82205,0.39289,0.80785,0.00128085,0.00128085,0.00128085
183,3867.22,0.74998,0.37453,0.8139,0.78768,0.61562,0.67878,0.45862,0.8218,0.39273,0.80783,0.00126078,0.00126078,0.00126078
184,3888.07,0.74623,0.37222,0.81305,0.78887,0.61488,0.67884,0.45879,0.8219,0.39262,0.80782,0.00124177,0.00124177,0.00124177
185,3909.07,0.74737,0.3731,0.81424,0.78922,0.61484,0.67878,0.4587,0.82184,0.39282,0.80781,0.00122383,0.00122383,0.00122383
186,3930.03,0.74912,0.3737,0.81332,0.78901,0.61495,0.67927,0.45874,0.82172,0.39281,0.80778,0.00120695,0.00120695,0.00120695
187,3952.07,0.74705,0.37355,0.8136,0.78897,0.61487,0.67898,0.4588,0.82163,0.39271,0.8078,0.00119113,0.00119113,0.00119113
188,3974.06,0.74456,0.3713,0.81255,0.78861,0.61477,0.6791,0.45882,0.82135,0.39273,0.80776,0.00117639,0.00117639,0.00117639
189,3995.77,0.74447,0.37129,0.81325,0.78957,0.61488,0.67907,0.45892,0.82122,0.39273,0.80774,0.00116273,0.00116273,0.00116273
190,4016.77,0.74487,0.37211,0.81318,0.78783,0.61599,0.67929,0.45898,0.82114,0.3926,0.80772,0.00115015,0.00115015,0.00115015
191,4038.46,0.73363,0.35793,0.7982,0.78769,0.61567,0.67879,0.45886,0.82115,0.39268,0.80769,0.00113865,0.00113865,0.00113865
192,4059.24,0.72886,0.3564,0.79825,0.78765,0.6152,0.67881,0.45886,0.82109,0.39248,0.8076,0.00112824,0.00112824,0.00112824
193,4079.85,0.72682,0.35521,0.79861,0.78862,0.61558,0.67951,0.45915,0.82103,0.39272,0.80766,0.00111892,0.00111892,0.00111892
194,4100.64,0.72601,0.35394,0.7981,0.78868,0.61505,0.67964,0.45921,0.82113,0.39266,0.80767,0.00111069,0.00111069,0.00111069
195,4121.3,0.72606,0.35463,0.79816,0.78827,0.61606,0.67958,0.45926,0.82081,0.39238,0.80756,0.00110355,0.00110355,0.00110355
196,4142.05,0.72496,0.35404,0.79841,0.78858,0.61578,0.67948,0.45928,0.82095,0.39274,0.80755,0.00109751,0.00109751,0.00109751
197,4162.8,0.72392,0.35405,0.79823,0.78733,0.6149,0.67867,0.45918,0.82065,0.39276,0.8075,0.00109256,0.00109256,0.00109256
198,4183.59,0.72552,0.3548,0.79901,0.78748,0.61588,0.67964,0.45949,0.82099,0.39273,0.80756,0.00108872,0.00108872,0.00108872
199,4204.21,0.7196,0.35314,0.79797,0.78761,0.61534,0.67931,0.4592,0.82092,0.39265,0.80753,0.00108597,0.00108597,0.00108597
200,4225.02,0.72165,0.35243,0.79818,0.78785,0.61516,0.67877,0.45922,0.82099,0.3926,0.80748,0.00108432,0.00108432,0.00108432
