epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,899.138,0.94331,0.49558,0.84386,0.76996,0.58637,0.64985,0.42449,0.88928,0.45081,0.82071,0.00910697,0.00910697,0.00910697
43,920.238,0.95007,0.49737,0.84377,0.76218,0.5919,0.6448,0.41914,0.89005,0.45072,0.8183,0.00906449,0.00906449,0.00906449
44,941.132,0.94297,0.4921,0.84223,0.7563,0.58483,0.64164,0.42169,0.8926,0.45136,0.82094,0.00902113,0.00902113,0.00902113
45,962.237,0.93809,0.49016,0.84278,0.76981,0.5893,0.64493,0.42255,0.88588,0.44637,0.81962,0.00897692,0.00897692,0.00897692
46,983.226,0.93108,0.48812,0.84031,0.76442,0.59037,0.64755,0.42388,0.88798,0.44528,0.81933,0.00893186,0.00893186,0.00893186
47,1004.39,0.93046,0.48601,0.84029,0.76015,0.58362,0.64511,0.42439,0.8818,0.44452,0.81824,0.00888597,0.00888597,0.00888597
48,1025.4,0.92857,0.48619,0.84098,0.77344,0.59027,0.64895,0.42881,0.88191,0.44096,0.81827,0.00883925,0.00883925,0.00883925
49,1046.54,0.93026,0.48436,0.84125,0.77642,0.58632,0.64876,0.42846,0.87848,0.43883,0.8186,0.00879171,0.00879171,0.00879171
50,1067.6,0.92114,0.48262,0.84076,0.77768,0.5913,0.65324,0.42994,0.87763,0.4415,0.81856,0.00874337,0.00874337,0.00874337
51,1088.88,0.92118,0.48051,0.84021,0.7682,0.59376,0.65069,0.42825,0.87173,0.43675,0.81686,0.00869425,0.00869425,0.00869425
52,1109.91,0.91512,0.47658,0.83809,0.76348,0.59639,0.65155,0.43036,0.87025,0.43632,0.81754,0.00864434,0.00864434,0.00864434
53,1131.11,0.91996,0.47791,0.83891,0.76855,0.59479,0.65295,0.42878,0.87648,0.4351,0.81729,0.00859367,0.00859367,0.00859367
54,1152.36,0.91325,0.47811,0.83933,0.77548,0.59666,0.65322,0.43017,0.86995,0.43499,0.816,0.00854225,0.00854225,0.00854225
55,1173.39,0.91217,0.47574,0.83798,0.77748,0.5959,0.6552,0.43265,0.86866,0.43343,0.8162,0.00849009,0.00849009,0.00849009
56,1195.89,0.90422,0.47207,0.83631,0.76658,0.60557,0.65944,0.43403,0.86995,0.43123,0.81581,0.0084372,0.0084372,0.0084372
57,1217.8,0.90509,0.47077,0.83689,0.76896,0.60232,0.65851,0.43578,0.86705,0.43002,0.81591,0.00838359,0.00838359,0.00838359
58,1239.71,0.90019,0.46869,0.83668,0.77536,0.59416,0.65571,0.43243,0.86772,0.42931,0.81635,0.00832929,0.00832929,0.00832929
59,1261.25,0.89974,0.46679,0.83661,0.77323,0.59784,0.65513,0.43507,0.86047,0.42694,0.81536,0.00827429,0.00827429,0.00827429
60,1282.78,0.90376,0.46743,0.83702,0.77393,0.59822,0.65775,0.43635,0.86008,0.42644,0.81571,0.00821863,0.00821863,0.00821863
61,1304.28,0.89562,0.46382,0.83653,0.77569,0.60244,0.65831,0.43687,0.86071,0.42523,0.81509,0.0081623,0.0081623,0.0081623
62,1325.89,0.89125,0.4603,0.83617,0.77614,0.59463,0.65533,0.43645,0.8538,0.42367,0.81468,0.00810532,0.00810532,0.00810532
63,1347.25,0.89113,0.46142,0.83465,0.77878,0.59518,0.65608,0.43443,0.86073,0.42676,0.81444,0.00804772,0.00804772,0.00804772
64,1368.89,0.89277,0.46278,0.83542,0.78163,0.59754,0.66064,0.43836,0.85908,0.42393,0.81503,0.00798949,0.00798949,0.00798949
65,1389.79,0.8933,0.4602,0.83438,0.78529,0.59648,0.65987,0.43861,0.85175,0.4214,0.81439,0.00793066,0.00793066,0.00793066
66,1410.86,0.8878,0.45769,0.83535,0.78179,0.59901,0.65723,0.4374,0.85254,0.42229,0.81415,0.00787124,0.00787124,0.00787124
67,1431.84,0.89046,0.45888,0.83324,0.78242,0.60445,0.66272,0.44042,0.85335,0.42011,0.81348,0.00781125,0.00781125,0.00781125
68,1454.19,0.88557,0.45501,0.83275,0.77792,0.60641,0.66227,0.44077,0.85155,0.42027,0.81281,0.0077507,0.0077507,0.0077507
69,1476.11,0.87736,0.45193,0.83365,0.76857,0.60662,0.66158,0.44101,0.84899,0.41946,0.81305,0.0076896,0.0076896,0.0076896
70,1498.01,0.88247,0.45485,0.83253,0.78487,0.59991,0.66283,0.44055,0.85132,0.41898,0.81277,0.00762797,0.00762797,0.00762797
71,1519.53,0.87624,0.45165,0.83151,0.76268,0.6112,0.66397,0.44174,0.84879,0.41821,0.81281,0.00756583,0.00756583,0.00756583
72,1541.22,0.87689,0.45214,0.83347,0.78053,0.6072,0.66495,0.4422,0.84603,0.41613,0.813,0.00750318,0.00750318,0.00750318
73,1562.76,0.87835,0.4511,0.83252,0.77496,0.60596,0.66353,0.44295,0.84388,0.41447,0.813,0.00744006,0.00744006,0.00744006
74,1584.41,0.87144,0.44999,0.8317,0.76909,0.60866,0.66618,0.44399,0.84531,0.41331,0.81307,0.00737646,0.00737646,0.00737646
75,1605.82,0.86846,0.44692,0.83224,0.7681,0.61212,0.66651,0.44396,0.84405,0.41184,0.81257,0.00731242,0.00731242,0.00731242
76,1627.39,0.86965,0.44755,0.82974,0.77141,0.61153,0.66724,0.44532,0.84169,0.41176,0.81203,0.00724793,0.00724793,0.00724793
77,1648.55,0.86969,0.4448,0.83231,0.77421,0.61336,0.66788,0.44528,0.84204,0.41142,0.81259,0.00718303,0.00718303,0.00718303
78,1669.36,0.86102,0.44547,0.83123,0.76501,0.61449,0.66565,0.44522,0.84013,0.41046,0.81213,0.00711772,0.00711772,0.00711772
79,1690.39,0.86524,0.44325,0.83053,0.77084,0.60883,0.66706,0.44557,0.83883,0.4094,0.81197,0.00705202,0.00705202,0.00705202
80,1711.34,0.86756,0.44434,0.83067,0.77534,0.60905,0.66736,0.446,0.83966,0.40852,0.81173,0.00698595,0.00698595,0.00698595
81,1732.43,0.86098,0.44052,0.83114,0.77829,0.60721,0.66738,0.44664,0.83967,0.4092,0.81179,0.00691952,0.00691952,0.00691952
82,1753.32,0.86272,0.44319,0.83076,0.78321,0.60637,0.6687,0.44681,0.83808,0.40769,0.81185,0.00685275,0.00685275,0.00685275
83,1774.33,0.86012,0.43905,0.82925,0.77928,0.60746,0.66869,0.44654,0.83795,0.40714,0.81172,0.00678566,0.00678566,0.00678566
84,1795.34,0.85768,0.43732,0.829,0.78297,0.60702,0.66841,0.44796,0.83664,0.40694,0.81158,0.00671826,0.00671826,0.00671826
85,1816.36,0.85582,0.43695,0.82869,0.78289,0.6079,0.66929,0.44868,0.83771,0.40698,0.81167,0.00665057,0.00665057,0.00665057
86,1837.28,0.84997,0.43678,0.82862,0.78425,0.60777,0.66963,0.44835,0.83759,0.40544,0.81131,0.00658261,0.00658261,0.00658261
87,1858.29,0.8529,0.43601,0.8301,0.77949,0.60854,0.66989,0.44931,0.83591,0.40516,0.81116,0.00651439,0.00651439,0.00651439
88,1879.22,0.85549,0.43734,0.82851,0.7806,0.60612,0.66899,0.44865,0.8341,0.40425,0.8112,0.00644593,0.00644593,0.00644593
89,1900.13,0.8487,0.43531,0.82773,0.77734,0.60995,0.66882,0.44866,0.83407,0.40371,0.811,0.00637725,0.00637725,0.00637725
90,1921.04,0.85249,0.43537,0.82791,0.77749,0.61171,0.66933,0.44825,0.83379,0.40332,0.81108,0.00630836,0.00630836,0.00630836
91,1941.94,0.84945,0.43329,0.82858,0.77692,0.61027,0.66901,0.44863,0.83253,0.40287,0.81092,0.00623929,0.00623929,0.00623929
92,1962.89,0.84132,0.43059,0.82685,0.77653,0.61449,0.67069,0.4486,0.83352,0.40236,0.81062,0.00617004,0.00617004,0.00617004
93,1983.68,0.84061,0.42947,0.82657,0.77761,0.61295,0.67031,0.44867,0.83221,0.40237,0.81043,0.00610063,0.00610063,0.00610063
94,2004.61,0.84178,0.42897,0.8268,0.77443,0.61532,0.67084,0.44895,0.83174,0.40152,0.81024,0.00603109,0.00603109,0.00603109
95,2025.39,0.83701,0.42733,0.82601,0.77315,0.61434,0.67015,0.44977,0.83111,0.40122,0.80994,0.00596143,0.00596143,0.00596143
96,2046.45,0.83799,0.42706,0.82576,0.77854,0.61551,0.67163,0.45017,0.82993,0.40021,0.80998,0.00589166,0.00589166,0.00589166
97,2067.2,0.83138,0.42497,0.82672,0.78,0.61511,0.6718,0.45117,0.82957,0.4,0.80979,0.00582181,0.00582181,0.00582181
98,2088.24,0.82974,0.42467,0.8265,0.77764,0.61514,0.67209,0.45167,0.82901,0.39994,0.80964,0.00575189,0.00575189,0.00575189
99,2109.06,0.83399,0.42438,0.82571,0.78762,0.61178,0.67211,0.45163,0.82876,0.39989,0.80961,0.00568192,0.00568192,0.00568192
100,2130.11,0.83098,0.42118,0.82671,0.78672,0.61107,0.67127,0.45166,0.82786,0.39912,0.80979,0.00561191,0.00561191,0.00561191
101,2150.95,0.83031,0.42329,0.82582,0.78662,0.6109,0.67158,0.45122,0.82885,0.399,0.80982,0.00554188,0.00554188,0.00554188
102,2171.92,0.82783,0.42225,0.82599,0.78853,0.61031,0.6722,0.45189,0.82846,0.39872,0.8097,0.00547186,0.00547186,0.00547186
103,2192.65,0.82486,0.41918,0.82453,0.78829,0.61022,0.67291,0.45203,0.82842,0.39838,0.80947,0.00540185,0.00540185,0.00540185
104,2213.62,0.82428,0.42021,0.82544,0.79079,0.61058,0.67286,0.45197,0.82854,0.39879,0.80942,0.00533188,0.00533188,0.00533188
105,2234.47,0.81942,0.41785,0.82376,0.78079,0.61718,0.67309,0.45221,0.8285,0.3981,0.80939,0.00526196,0.00526196,0.00526196
106,2255.49,0.82522,0.41967,0.82529,0.78062,0.617,0.67292,0.45214,0.82888,0.398,0.80933,0.0051921,0.0051921,0.0051921
107,2276.29,0.81762,0.41577,0.82395,0.77894,0.61859,0.67332,0.45245,0.82868,0.39778,0.80935,0.00512234,0.00512234,0.00512234
108,2297.35,0.81709,0.41437,0.82437,0.7789,0.61858,0.67333,0.45274,0.82803,0.39681,0.80926,0.00505268,0.00505268,0.00505268
109,2318.27,0.8176,0.41484,0.82317,0.78211,0.61785,0.67434,0.45314,0.82779,0.39646,0.80936,0.00498313,0.00498313,0.00498313
110,2339.39,0.81252,0.4126,0.82375,0.78069,0.61867,0.67452,0.4533,0.82792,0.39627,0.80926,0.00491373,0.00491373,0.00491373
111,2360.34,0.81144,0.41184,0.82315,0.78152,0.61746,0.67437,0.45339,0.82811,0.39599,0.80926,0.00484448,0.00484448,0.00484448
112,2381.42,0.81461,0.41354,0.82421,0.7828,0.61581,0.67451,0.4529,0.8282,0.39561,0.80923,0.0047754,0.0047754,0.0047754
113,2402.25,0.81249,0.41199,0.82338,0.78236,0.61599,0.67448,0.45301,0.82859,0.39525,0.80929,0.00470652,0.00470652,0.00470652
114,2423.3,0.81112,0.41161,0.82231,0.78697,0.61438,0.67481,0.45356,0.82869,0.39541,0.80924,0.00463783,0.00463783,0.00463783
115,2444.19,0.80877,0.41092,0.82323,0.78625,0.61564,0.67551,0.4541,0.82881,0.39525,0.80918,0.00456938,0.00456938,0.00456938
116,2465.2,0.80823,0.40885,0.82189,0.78652,0.61603,0.67565,0.45458,0.82865,0.39516,0.80915,0.00450116,0.00450116,0.00450116
117,2486.09,0.81176,0.40986,0.8224,0.78527,0.61621,0.67561,0.4547,0.82835,0.39521,0.80919,0.0044332,0.0044332,0.0044332
118,2507.11,0.80923,0.40939,0.82189,0.7858,0.61729,0.67654,0.45497,0.82834,0.39477,0.80922,0.00436551,0.00436551,0.00436551
119,2528.15,0.81109,0.4098,0.82136,0.78274,0.61764,0.67564,0.4549,0.82814,0.39447,0.80916,0.00429811,0.00429811,0.00429811
120,2548.97,0.80705,0.4077,0.82127,0.78343,0.61727,0.67595,0.45492,0.82809,0.39436,0.80915,0.00423102,0.00423102,0.00423102
121,2570.02,0.80822,0.40872,0.8226,0.78549,0.61697,0.67593,0.45456,0.82801,0.39403,0.80918,0.00416425,0.00416425,0.00416425
122,2590.84,0.80058,0.405,0.82263,0.78581,0.61619,0.67512,0.4549,0.8275,0.39368,0.80911,0.00409782,0.00409782,0.00409782
123,2611.91,0.80572,0.40681,0.82262,0.78333,0.61724,0.67501,0.45458,0.82741,0.39359,0.80907,0.00403175,0.00403175,0.00403175
124,2632.78,0.79693,0.40372,0.81995,0.78344,0.6181,0.6754,0.45465,0.82713,0.39344,0.809,0.00396605,0.00396605,0.00396605
125,2653.74,0.79866,0.40185,0.82036,0.78224,0.61864,0.67615,0.45513,0.82669,0.39321,0.80893,0.00390074,0.00390074,0.00390074
126,2674.52,0.79724,0.40144,0.8207,0.781,0.61887,0.67644,0.45536,0.82653,0.39307,0.80893,0.00383584,0.00383584,0.00383584
127,2695.49,0.79357,0.40023,0.8209,0.78157,0.61852,0.67647,0.45591,0.82634,0.3931,0.80891,0.00377135,0.00377135,0.00377135
128,2716.29,0.79496,0.40132,0.82044,0.78113,0.61766,0.67581,0.45582,0.82596,0.39281,0.80889,0.0037073,0.0037073,0.0037073
129,2737.22,0.79277,0.39917,0.8207,0.7816,0.61776,0.67613,0.45571,0.82603,0.39286,0.80884,0.00364371,0.00364371,0.00364371
130,2758,0.79024,0.40037,0.81985,0.78141,0.61641,0.67581,0.45589,0.82571,0.39265,0.80884,0.00358058,0.00358058,0.00358058
131,2778.96,0.79056,0.39963,0.82026,0.78244,0.61605,0.67617,0.45566,0.82554,0.39251,0.80879,0.00351794,0.00351794,0.00351794
132,2799.77,0.79151,0.39787,0.81959,0.78225,0.61703,0.6769,0.45617,0.82533,0.39255,0.8087,0.0034558,0.0034558,0.0034558
133,2820.72,0.78927,0.39837,0.8195,0.78279,0.61669,0.67672,0.45605,0.8254,0.39239,0.80868,0.00339417,0.00339417,0.00339417
134,2841.47,0.79039,0.39769,0.82054,0.78413,0.61633,0.67689,0.45632,0.82483,0.39235,0.80863,0.00333307,0.00333307,0.00333307
135,2862.48,0.78963,0.39775,0.82048,0.78319,0.61661,0.67675,0.45632,0.82478,0.39225,0.80865,0.00327252,0.00327252,0.00327252
136,2883.47,0.78593,0.39493,0.8184,0.78365,0.61705,0.6772,0.45647,0.82461,0.39238,0.80862,0.00321252,0.00321252,0.00321252
137,2904.17,0.78227,0.39366,0.81954,0.78295,0.61779,0.67746,0.45627,0.82464,0.39227,0.80857,0.00315311,0.00315311,0.00315311
138,2925.16,0.78134,0.39322,0.81897,0.78437,0.61734,0.67759,0.45637,0.82449,0.39213,0.80851,0.00309428,0.00309428,0.00309428
139,2945.92,0.78428,0.39556,0.81843,0.78472,0.61735,0.6777,0.45668,0.8244,0.39224,0.80849,0.00303605,0.00303605,0.00303605
140,2966.89,0.78291,0.39318,0.81786,0.784,0.61715,0.67752,0.45677,0.82392,0.39262,0.80845,0.00297844,0.00297844,0.00297844
141,2987.7,0.77871,0.39264,0.81826,0.78447,0.61754,0.67782,0.45692,0.82397,0.39271,0.80841,0.00292147,0.00292147,0.00292147
142,3008.68,0.77907,0.39222,0.81847,0.78408,0.61633,0.67748,0.45715,0.82363,0.39271,0.8084,0.00286514,0.00286514,0.00286514
143,3029.47,0.77433,0.38856,0.81755,0.7845,0.61563,0.67748,0.45684,0.82346,0.39281,0.80833,0.00280947,0.00280947,0.00280947
144,3050.38,0.78187,0.39504,0.81858,0.78482,0.61571,0.67749,0.45697,0.82349,0.39287,0.80829,0.00275448,0.00275448,0.00275448
145,3071.18,0.78067,0.39045,0.81878,0.78449,0.61643,0.67733,0.45688,0.8232,0.39292,0.80827,0.00270017,0.00270017,0.00270017
146,3092.17,0.77636,0.39109,0.81756,0.78322,0.6167,0.67759,0.45713,0.82322,0.393,0.80826,0.00264657,0.00264657,0.00264657
147,3113.01,0.77722,0.39021,0.8175,0.78333,0.61601,0.67756,0.45726,0.82299,0.39322,0.80825,0.00259368,0.00259368,0.00259368
