ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,6722.698465573734,-4466.220489993833,0,0.01,0.01,0
2,blue,6540.778564048894,-4702.374006409484,0,0.01,0.01,0
3,blue,6363.7699752908575,-4942.26047374783,0,0.01,0.01,0
4,blue,6181.308967094955,-5177.995721881141,0,0.01,0.01,0
5,blue,5984.187259188335,-5401.529556569278,0,0.01,0.01,0
6,blue,5765.351023157772,-5603.716094062121,0,0.01,0.01,0
7,blue,5521.721974900992,-5775.088680301474,0,0.01,0.01,0
8,blue,5254.455065684972,-5906.369257007979,0,0.01,0.01,0
9,blue,4967.885741465799,-5986.797731702551,0,0.01,0.01,0
10,blue,4671.028788538206,-6007.193082575996,0,0.01,0.01,0
11,blue,4376.448764462529,-5965.312412722271,0,0.01,0.01,0
12,blue,4100.751087490658,-5854.355174473413,0,0.01,0.01,0
13,blue,3873.0139707975823,-5664.08848269276,0,0.01,0.01,0
14,blue,3713.606192208971,-5413.265502778384,0,0.01,0.01,0
15,blue,3614.1456108177786,-5132.658550863258,0,0.01,0.01,0
16,blue,3554.7370945673165,-4840.658335659271,0,0.01,0.01,0
17,blue,3518.095823267447,-4544.831803553133,0,0.01,0.01,0
18,blue,3491.3364137541294,-4247.9143465736115,0,0.01,0.01,0
19,blue,3463.6679733286087,-3951.0830467670444,0,0.01,0.01,0
20,blue,3423.7750637868985,-3655.6915802842655,0,0.01,0.01,0
21,blue,3356.243882337931,-3365.5355082722635,0,0.01,0.01,0
22,blue,3236.9574674448836,-3093.178543046275,0,0.01,0.01,0
23,blue,3037.03924699023,-2874.6692354326015,0,0.01,0.01,0
24,blue,2784.7355724319023,-2716.1873899170473,0,0.01,0.01,0
25,blue,2532.6030015678684,-2557.357879623156,0,0.01,0.01,0
26,blue,2310.0653712025746,-2359.7163176303893,0,0.01,0.01,0
27,blue,2114.173147503161,-2135.038899013969,0,0.01,0.01,0
28,blue,1907.047168645414,-1921.2142728434117,0,0.01,0.01,0
29,blue,1640.576152888655,-1793.633164073185,0,0.01,0.01,0
30,blue,1344.5269674940291,-1764.9596544563735,0,0.01,0.01,0
31,blue,1047.032469483693,-1782.5955182686698,0,0.01,0.01,0
32,blue,750.7462403259183,-1815.6025567430474,0,0.01,0.01,0
33,blue,454.20515872008025,-1846.1488907257717,0,0.01,0.01,0
34,blue,156.6215673305173,-1863.4981663550434,0,0.01,0.01,0
35,blue,-141.44681217769275,-1863.3402137026364,0,0.01,0.01,0
36,blue,-438.6347039335327,-1840.9077070196702,0,0.01,0.01,0
37,blue,-732.1675790672543,-1789.7019238174096,0,0.01,0.01,0
38,blue,-1016.6064603212078,-1701.3542802376405,0,0.01,0.01,0
39,blue,-1281.882691672191,-1566.3620018728266,0,0.01,0.01,0
40,blue,-1512.1922991557894,-1378.170469284535,0,0.01,0.01,0
41,blue,-1689.7971514388587,-1139.733287299589,0,0.01,0.01,0
42,blue,-1803.5471528030762,-865.0245767676978,0,0.01,0.01,0
43,blue,-1822.93902163049,-569.8019678012201,0,0.01,0.01,0
44,blue,-1701.146288395298,-301.45538729496764,0,0.01,0.01,0
45,blue,-1471.0912715346033,-114.67703792678208,0,0.01,0.01,0
46,blue,-1196.4615845872486,-0.10996554607913822,0,0.01,0.01,0
47,blue,-906.8481033226334,69.85821041028544,0,0.01,0.01,0
48,blue,-611.8540102277371,112.46000200607398,0,0.01,0.01,0
49,blue,-314.7939830598645,137.2486954628414,0,0.01,0.01,0
50,blue,-16.942757869424696,149.6291634552449,0,0.01,0.01,0
51,blue,281.15140972583606,153.1943280349907,0,0.01,0.01,0
52,blue,579.257670982966,150.3788248874116,0,0.01,0.01,0
53,blue,877.300357098446,143.47198131519292,0,0.01,0.01,0
54,blue,1175.3106993142724,135.24677640369873,0,0.01,0.01,0
55,blue,1473.3632523064123,128.81232745688465,0,0.01,0.01,0
56,blue,1771.4767312140275,128.04936637992625,0,0.01,0.01,0
57,blue,2069.3651787474837,138.9620174600168,0,0.01,0.01,0
58,blue,2365.457928064841,172.44428845237678,0,0.01,0.01,0
59,blue,2650.81154822013,255.6114446928234,0,0.01,0.01,0
60,blue,2835.292378127495,472.73853439321556,0,0.01,0.01,0
61,blue,2797.639271754856,766.5839335983293,0,0.01,0.01,0
62,blue,2764.912926538503,1061.9355704614293,0,0.01,0.01,0
63,blue,2834.0305944614033,1349.8579314505064,0,0.01,0.01,0
64,blue,3010.8153771491457,1587.5653503870099,0,0.01,0.01,0
65,blue,3255.453491831274,1756.3873720437955,0,0.01,0.01,0
66,blue,3530.179794672015,1871.3397435730258,0,0.01,0.01,0
67,blue,3817.2926945615804,1951.1888923067859,0,0.01,0.01,0
68,blue,4109.7309130911,2008.8985303069421,0,0.01,0.01,0
69,blue,4404.636879561978,2052.4576055681705,0,0.01,0.01,0
70,blue,4700.720971798019,2087.2150501467786,0,0.01,0.01,0
71,blue,4997.346041839271,2117.0558707985265,0,0.01,0.01,0
72,blue,5294.14054152934,2145.177795730453,0,0.01,0.01,0
73,blue,5590.806900189745,2174.6091423002326,0,0.01,0.01,0
74,blue,5886.978082036879,2208.6233375792376,0,0.01,0.01,0
75,blue,6181.997295729923,2251.4060484659835,0,0.01,0.01,0
76,blue,6474.491232632002,2308.813641430763,0,0.01,0.01,0
77,blue,6762.535669977922,2385.4558009819953,0,0.01,0.01,0
78,blue,7045.068071215378,2480.4584002168413,0,0.01,0.01,0
79,blue,7322.223038603266,2590.2226230498145,0,0.01,0.01,0
80,blue,7595.689512639405,2708.9268878680286,0,0.01,0.01,0
81,blue,7868.283787147195,2829.6326708082033,0,0.01,0.01,0
82,blue,8142.657399251561,2946.2251455728565,0,0.01,0.01,0
83,blue,8419.290563789413,3057.3517297102144,0,0.01,0.01,0
84,blue,8697.957055754592,3163.2775102908026,0,0.01,0.01,0
85,blue,8978.512392426706,3264.094577717611,0,0.01,0.01,0
86,blue,9260.848039926406,3359.8122975563283,0,0.01,0.01,0
87,blue,9544.908797049144,3450.2813497354337,0,0.01,0.01,0
88,blue,9830.660532672107,3535.2579210667814,0,0.01,0.01,0
89,blue,10117.47428586887,3616.593618148508,0,0.01,0.01,0
90,blue,10403.882447763073,3699.3374101840573,0,0.01,0.01,0
91,blue,10688.202481253731,3788.955148679665,0,0.01,0.01,0
92,blue,10968.481720134021,3890.4544627110026,0,0.01,0.01,0
93,blue,11242.542348119738,4007.66694140151,0,0.01,0.01,0
94,blue,11508.247345930571,4142.732355986621,0,0.01,0.01,0
95,blue,11766.656088688684,4291.390464637789,0,0.01,0.01,0
96,blue,12033.641229809014,4423.472979227441,0,0.01,0.01,0
97,blue,12323.089980145905,4487.8079960203795,0,0.01,0.01,0
98,blue,12609.423323012585,4418.05962239709,0,0.01,0.01,0
99,blue,12840.131108447007,4231.7048837083,0,0.01,0.01,0
100,blue,13011.16593858207,3988.295650099198,0,0.01,0.01,0
101,blue,13131.57514528321,3716.019191897803,0,0.01,0.01,0
102,blue,13202.060100021965,3426.792614605199,0,0.01,0.01,0
103,blue,13211.144450526243,3129.5334500703007,0,0.01,0.01,0
104,blue,13131.111743436366,2844.1926355894166,0,0.01,0.01,0
105,blue,12937.960138583316,2620.501761375644,0,0.01,0.01,0
106,blue,12685.747400579961,2461.9903955191658,0,0.01,0.01,0
107,blue,12430.52692605948,2307.9561245155846,0,0.01,0.01,0
108,blue,12185.714316657897,2137.9959889317433,0,0.01,0.01,0
109,blue,11965.289878387879,1937.9064140690416,0,0.01,0.01,0
110,blue,11820.069646629834,1681.51001143778,0,0.01,0.01,0
111,blue,11885.783689814009,1396.5981810805033,0,0.01,0.01,0
112,blue,11984.930013901056,1116.499074190716,0,0.01,0.01,0
113,blue,11968.866330682198,821.1993087915971,0,0.01,0.01,0
114,blue,11842.88897967721,552.4463512926161,0,0.01,0.01,0
115,blue,11651.306847681322,324.7528781130171,0,0.01,0.01,0
116,blue,11423.443226264071,132.91253773925007,0,0.01,0.01,0
117,blue,11173.576896680408,-29.429704054817307,0,0.01,0.01,0
118,blue,10909.591369917547,-167.7900773124236,0,0.01,0.01,0
119,blue,10637.51880682232,-289.60281824175524,0,0.01,0.01,0
120,blue,10361.880555358259,-403.18076212563767,0,0.01,0.01,0
121,blue,10086.947188638142,-518.4343368639304,0,0.01,0.01,0
122,blue,9819.207941859158,-649.3049460398282,0,0.01,0.01,0
123,blue,9576.122845754191,-820.6102260669098,0,0.01,0.01,0
124,blue,9419.189137100684,-1069.4353182690008,0,0.01,0.01,0
125,blue,9403.855787820687,-1365.9814030722828,0,0.01,0.01,0
126,blue,9350.657368192671,-1658.3716737711798,0,0.01,0.01,0
127,blue,9229.479935048446,-1930.1721547827754,0,0.01,0.01,0
128,blue,9064.490246625797,-2178.2039015443315,0,0.01,0.01,0
129,blue,8874.630601645738,-2407.956946156273,0,0.01,0.01,0
130,blue,8671.758634876229,-2626.369248600939,0,0.01,0.01,0
131,blue,8459.717677241133,-2835.9052532282194,0,0.01,0.01,0
132,blue,8240.749409151987,-3038.203635431033,0,0.01,0.01,0
133,blue,8017.192285991072,-3235.428703860974,0,0.01,0.01,0
134,blue,7791.400134771193,-3430.096389715105,0,0.01,0.01,0
135,blue,7565.83609695312,-3625.027737714855,0,0.01,0.01,0
136,blue,7343.134896618891,-3823.215836847025,0,0.01,0.01,0
137,blue,7126.189208019334,-4027.6731428060216,0,0.01,0.01,0
138,blue,6918.211743531302,-4241.225356788088,0,0.01,0.01,0
139,yellow,6489.576539955973,-4277.484797790091,0,0.01,0.01,0
140,yellow,6306.527629548783,-4514.642860485279,0,0.01,0.01,0
141,yellow,6128.599727622342,-4755.766229964351,0,0.01,0.01,0
142,yellow,5945.244406092292,-4992.754680644081,0,0.01,0.01,0
143,yellow,5745.789696086685,-5216.2427710898,0,0.01,0.01,0
144,yellow,5521.057033425363,-5414.065988689529,0,0.01,0.01,0
145,yellow,5267.346371373738,-5572.752337939366,0,0.01,0.01,0
146,yellow,4986.926891853813,-5676.525326625236,0,0.01,0.01,0
147,yellow,4689.798816568176,-5707.693830350654,0,0.01,0.01,0
148,yellow,4395.2428425754715,-5658.403238479531,0,0.01,0.01,0
149,yellow,4138.589095989848,-5509.006059560486,0,0.01,0.01,0
150,yellow,3973.907892905269,-5260.9152696187875,0,0.01,0.01,0
151,yellow,3884.6441693788834,-4975.345875651928,0,0.01,0.01,0
152,yellow,3835.1368632388594,-4679.907827358397,0,0.01,0.01,0
153,yellow,3804.0668678759034,-4381.875759467627,0,0.01,0.01,0
154,yellow,3778.059057582829,-4083.3418334021844,0,0.01,0.01,0
155,yellow,3746.2985856600035,-3785.382557420951,0,0.01,0.01,0
156,yellow,3697.4714745135143,-3489.8043620683993,0,0.01,0.01,0
157,yellow,3617.6049269935284,-3201.227865343968,0,0.01,0.01,0
158,yellow,3489.4227275259746,-2931.001263229598,0,0.01,0.01,0
159,yellow,3298.5888204991634,-2701.3005704578477,0,0.01,0.01,0
160,yellow,3055.2377546039465,-2527.214295202879,0,0.01,0.01,0
161,yellow,2797.5857460272314,-2374.224165986533,0,0.01,0.01,0
162,yellow,2562.6378915102273,-2189.3767504332063,0,0.01,0.01,0
163,yellow,2363.6991022077227,-1965.3934880480024,0,0.01,0.01,0
164,yellow,2160.9506599930382,-1744.970273292762,0,0.01,0.01,0
165,yellow,1916.3988394696757,-1573.9627790041027,0,0.01,0.01,0
166,yellow,1631.0335666982207,-1485.8921639930315,0,0.01,0.01,0
167,yellow,1332.4828042695242,-1465.040419607581,0,0.01,0.01,0
168,yellow,1033.4198845369087,-1482.5088863943988,0,0.01,0.01,0
169,yellow,735.5667381459717,-1515.3559778900303,0,0.01,0.01,0
170,yellow,437.5382890168385,-1546.5107904744314,0,0.01,0.01,0
171,yellow,138.4186974879725,-1563.9363000298003,0,0.01,0.01,0
172,yellow,-161.17736072655688,-1562.3710086210735,0,0.01,0.01,0
173,yellow,-459.5263293553551,-1535.6305015696166,0,0.01,0.01,0
174,yellow,-752.6645574683158,-1474.5787014915918,0,0.01,0.01,0
175,yellow,-1031.1411987120052,-1365.3101317450792,0,0.01,0.01,0
176,yellow,-1274.2925897240013,-1192.004950325719,0,0.01,0.01,0
177,yellow,-1450.4782677750654,-951.3710535297037,0,0.01,0.01,0
178,yellow,-1530.8974632608126,-665.3643089352528,0,0.01,0.01,0
179,yellow,-1387.3836209027324,-416.2291906955488,0,0.01,0.01,0
180,yellow,-1117.145362948753,-289.5917092105549,0,0.01,0.01,0
181,yellow,-825.8101872733981,-220.3845282569432,0,0.01,0.01,0
182,yellow,-528.8850991034835,-180.49753208509003,0,0.01,0.01,0
183,yellow,-230.05626983646223,-158.54121332274644,0,0.01,0.01,0
184,yellow,69.42885837989294,-148.5848394068114,0,0.01,0.01,0
185,yellow,369.08284541579553,-147.04987947081918,0,0.01,0.01,0
186,yellow,668.712302053492,-151.45340525072015,0,0.01,0.01,0
187,yellow,968.2779286870638,-159.14931093486473,0,0.01,0.01,0
188,yellow,1267.834892823526,-167.18565782265387,0,0.01,0.01,0
189,yellow,1567.4531820138143,-172.28140180273783,0,0.01,0.01,0
190,yellow,1867.097231925356,-170.18947021094846,0,0.01,0.01,0
191,yellow,2166.313070362253,-154.618306111729,0,0.01,0.01,0
192,yellow,2463.1312684898057,-114.53693118801596,0,0.01,0.01,0
193,yellow,2749.7256340984395,-29.009079100893587,0,0.01,0.01,0
194,yellow,2995.187302784254,139.06755967732352,0,0.01,0.01,0
195,yellow,3127.883073458495,403.44249976508024,0,0.01,0.01,0
196,yellow,3119.7443061744675,701.0378397585157,0,0.01,0.01,0
197,yellow,3064.947549358304,995.2441625572504,0,0.01,0.01,0
198,yellow,3138.5793347290237,1280.0219951424765,0,0.01,0.01,0
199,yellow,3363.678307585193,1473.795201261251,0,0.01,0.01,0
200,yellow,3638.8361795625856,1591.244754668969,0,0.01,0.01,0
201,yellow,3928.196394973854,1668.6533666440341,0,0.01,0.01,0
202,yellow,4222.777072099395,1723.3812518607408,0,0.01,0.01,0
203,yellow,4519.577656680674,1764.6014403202826,0,0.01,0.01,0
204,yellow,4817.392230247883,1797.8088374839872,0,0.01,0.01,0
205,yellow,5115.634782119785,1826.9637754153905,0,0.01,0.01,0
206,yellow,5413.9558115438995,1855.3117144134121,0,0.01,0.01,0
207,yellow,5712.051048824726,1885.9223843487655,0,0.01,0.01,0
208,yellow,6009.50733820931,1922.1689940600015,0,0.01,0.01,0
209,yellow,6305.580833784474,1968.2791726069267,0,0.01,0.01,0
210,yellow,6598.777032765553,2029.9698864981735,0,0.01,0.01,0
211,yellow,6887.507756585061,2109.988627127217,0,0.01,0.01,0
212,yellow,7170.939105103298,2207.157479694666,0,0.01,0.01,0
213,yellow,7449.255982651536,2318.1804574495145,0,0.01,0.01,0
214,yellow,7724.059102831456,2437.6773907433544,0,0.01,0.01,0
215,yellow,7998.08543236193,2558.9550518463993,0,0.01,0.01,0
216,yellow,8273.992965141098,2675.8771647572216,0,0.01,0.01,0
217,yellow,8552.213487485358,2787.1854373452693,0,0.01,0.01,0
218,yellow,8832.516342017221,2893.1418745842534,0,0.01,0.01,0
219,yellow,9114.746906654105,2993.8514096464273,0,0.01,0.01,0
220,yellow,9398.80077093595,3089.296620169685,0,0.01,0.01,0
221,yellow,9684.624696440133,3179.301342073217,0,0.01,0.01,0
222,yellow,9972.14984957028,3263.716217686556,0,0.01,0.01,0
223,yellow,10260.49110264993,3345.3150497830648,0,0.01,0.01,0
224,yellow,10548.095093147975,3429.4605786680763,0,0.01,0.01,0
225,yellow,10833.298561372807,3521.376447660498,0,0.01,0.01,0
226,yellow,11114.248958979651,3625.5251043204366,0,0.01,0.01,0
227,yellow,11389.023692445064,3744.9848359328116,0,0.01,0.01,0
228,yellow,11655.743111071624,3881.469692131014,0,0.01,0.01,0
229,yellow,11915.481317140013,4030.9080298019608,0,0.01,0.01,0
230,yellow,12185.521312353427,4159.799691140768,0,0.01,0.01,0
231,yellow,12475.052159919464,4149.753227801659,0,0.01,0.01,0
232,yellow,12687.34739214106,3941.7339249163547,0,0.01,0.01,0
233,yellow,12826.612031569737,3677.1660102981314,0,0.01,0.01,0
234,yellow,12904.519243957577,3388.4353635909974,0,0.01,0.01,0
235,yellow,12901.922885781585,3090.342631744539,0,0.01,0.01,0
236,yellow,12740.697009681386,2847.4645807711568,0,0.01,0.01,0
237,yellow,12484.639860134392,2692.023600897264,0,0.01,0.01,0
238,yellow,12229.321193372616,2535.1977895101954,0,0.01,0.01,0
239,yellow,11985.003695031284,2361.8523619782763,0,0.01,0.01,0
240,yellow,11762.808147176751,2161.2313129284416,0,0.01,0.01,0
241,yellow,11588.556907301225,1918.6813085000695,0,0.01,0.01,0
242,yellow,11514.58450173103,1631.0760627177388,0,0.01,0.01,0
243,yellow,11581.720494269544,1341.4925929096994,0,0.01,0.01,0
244,yellow,11689.678345524586,1062.9005114640677,0,0.01,0.01,0
245,yellow,11627.713484937869,775.4647492975408,0,0.01,0.01,0
246,yellow,11443.103671782075,540.7746481713247,0,0.01,0.01,0
247,yellow,11212.072710686973,350.45393818571995,0,0.01,0.01,0
248,yellow,10957.214605629038,193.15058306322612,0,0.01,0.01,0
249,yellow,10688.727265097019,60.21100858533828,0,0.01,0.01,0
250,yellow,10413.39471914911,-58.032692735415026,0,0.01,0.01,0
251,yellow,10136.06277931711,-171.54860788743065,0,0.01,0.01,0
252,yellow,9861.414326348193,-291.3450334062617,0,0.01,0.01,0
253,yellow,9596.953893782573,-431.9328447136144,0,0.01,0.01,0
254,yellow,9359.061060460515,-613.1622805800191,0,0.01,0.01,0
255,yellow,9181.597683255492,-852.752880305718,0,0.01,0.01,0
256,yellow,9104.292171847475,-1140.3629477318475,0,0.01,0.01,0
257,yellow,9095.57861077539,-1439.4240798187639,0,0.01,0.01,0
258,yellow,9000.531974571757,-1722.3134822375614,0,0.01,0.01,0
259,yellow,8841.34502154353,-1975.756725219051,0,0.01,0.01,0
260,yellow,8651.459259662264,-2207.4581245884347,0,0.01,0.01,0
261,yellow,8447.34968277508,-2426.82029353886,0,0.01,0.01,0
262,yellow,8233.644634837183,-2636.8620220355697,0,0.01,0.01,0
263,yellow,8012.934732236954,-2839.544324390394,0,0.01,0.01,0
264,yellow,7787.775884481334,-3037.2829591382056,0,0.01,0.01,0
265,yellow,7560.691553321357,-3232.8122282276654,0,0.01,0.01,0
266,yellow,7334.221518311104,-3429.051117645777,0,0.01,0.01,0
267,yellow,7111.007376881433,-3628.9774753284505,0,0.01,0.01,0
268,yellow,6893.829334377372,-3835.4302186873156,0,0.01,0.01,0
269,yellow,6685.646196781936,-4050.930711708169,0,0.01,0.01,0
270,big_orange,470,220,0,0.01,0.01,0
271,big_orange,470,-220,0,0.01,0.01,0
272,big_orange,730,220,0,0.01,0.01,0
273,big_orange,730,-220,0,0.01,0.01,0
