ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,4840.028109980942,2164.316263060085,0,0.01,0.01,0
2,blue,5131.200210343462,2100.298644034827,0,0.01,0.01,0
3,blue,5405.267710939741,1984.2131877624013,0,0.01,0.01,0
4,blue,5628.620280384073,1789.6114158148723,0,0.01,0.01,0
5,blue,5746.706441632027,1517.8782883030692,0,0.01,0.01,0
6,blue,5790.613264970786,1223.006170520436,0,0.01,0.01,0
7,blue,5844.292337888005,930.2148887354011,0,0.01,0.01,0
8,blue,6017.584919904492,691.7354756497822,0,0.01,0.01,0
9,blue,6263.755643563635,524.0601843805614,0,0.01,0.01,0
10,blue,6527.179923755159,384.0860351763453,0,0.01,0.01,0
11,blue,6789.298640707744,241.727445420236,0,0.01,0.01,0
12,blue,7033.123854728807,70.5124353296469,0,0.01,0.01,0
13,blue,7225.572198406712,-155.6218484673625,0,0.01,0.01,0
14,blue,7320.641874872455,-436.3673177893055,0,0.01,0.01,0
15,blue,7348.572285811633,-733.3122598110904,0,0.01,0.01,0
16,blue,7441.763539164924,-1011.7887111309592,0,0.01,0.01,0
17,blue,7667.947613609738,-1204.3336893563699,0,0.01,0.01,0
18,blue,7921.949853993649,-1360.7660745574847,0,0.01,0.01,0
19,blue,8166.7696516742735,-1530.8004761974096,0,0.01,0.01,0
20,blue,8362.767242123851,-1753.7055954515488,0,0.01,0.01,0
21,blue,8462.335744995247,-2033.061793777054,0,0.01,0.01,0
22,blue,8467.953892246762,-2330.390705256281,0,0.01,0.01,0
23,blue,8405.809298542217,-2621.707308740275,0,0.01,0.01,0
24,blue,8297.277699600554,-2899.324493719448,0,0.01,0.01,0
25,blue,8154.555964279234,-3161.108407403764,0,0.01,0.01,0
26,blue,7984.39669726054,-3405.980209011283,0,0.01,0.01,0
27,blue,7789.897437460736,-3632.0034303942316,0,0.01,0.01,0
28,blue,7571.89298241461,-3835.405974733337,0,0.01,0.01,0
29,blue,7329.565924445168,-4008.960252346413,0,0.01,0.01,0
30,blue,7061.837680332347,-4139.438766232531,0,0.01,0.01,0
31,blue,6771.420265712325,-4203.044058231499,0,0.01,0.01,0
32,blue,6476.386377683608,-4170.4673474053525,0,0.01,0.01,0
33,blue,6202.059103633308,-4054.7921759353903,0,0.01,0.01,0
34,blue,5947.291253404371,-3899.719922930195,0,0.01,0.01,0
35,blue,5694.729023246048,-3740.995154119485,0,0.01,0.01,0
36,blue,5426.229173045694,-3611.827827640784,0,0.01,0.01,0
37,blue,5139.1207892444,-3532.224924854352,0,0.01,0.01,0
38,blue,4842.608801568279,-3502.760405582155,0,0.01,0.01,0
39,blue,4545.3822106445,-3523.6026427948664,0,0.01,0.01,0
40,blue,4256.55289909906,-3596.523252757226,0,0.01,0.01,0
41,blue,3987.7783521611377,-3724.67145408286,0,0.01,0.01,0
42,blue,3754.059691060782,-3909.0445505962416,0,0.01,0.01,0
43,blue,3560.177721163204,-4135.350437844894,0,0.01,0.01,0
44,blue,3397.275806237845,-4385.11841891745,0,0.01,0.01,0
45,blue,3254.58266849282,-4647.059783328787,0,0.01,0.01,0
46,blue,3122.496325778114,-4914.545930663109,0,0.01,0.01,0
47,blue,2992.549051587173,-5183.084630545443,0,0.01,0.01,0
48,blue,2856.498714280022,-5448.562310943668,0,0.01,0.01,0
49,blue,2705.5263248532283,-5705.782652755962,0,0.01,0.01,0
50,blue,2529.789788685501,-5946.613427687876,0,0.01,0.01,0
51,blue,2319.772441124739,-6157.90835423684,0,0.01,0.01,0
52,blue,2071.1243613080924,-6321.533686752327,0,0.01,0.01,0
53,blue,1790.8104787070145,-6421.425963987793,0,0.01,0.01,0
54,blue,1495.15766763499,-6457.52279180515,0,0.01,0.01,0
55,blue,1197.6046314538053,-6441.255941988476,0,0.01,0.01,0
56,blue,906.090544401944,-6379.213620404541,0,0.01,0.01,0
57,blue,627.5885466165164,-6273.150071232101,0,0.01,0.01,0
58,blue,371.48554894746866,-6120.992796581182,0,0.01,0.01,0
59,blue,152.88210782617568,-5919.0165659154945,0,0.01,0.01,0
60,blue,-8.191865381417074,-5668.859414820735,0,0.01,0.01,0
61,blue,-118.80163072509902,-5392.003381163172,0,0.01,0.01,0
62,blue,-215.38159258986553,-5109.75565575146,0,0.01,0.01,0
63,blue,-342.33449626468797,-4840.360960270289,0,0.01,0.01,0
64,blue,-529.5585306848168,-4609.051904105898,0,0.01,0.01,0
65,blue,-765.2192725641441,-4427.261918913832,0,0.01,0.01,0
66,blue,-1040.4652955220172,-4315.611230549352,0,0.01,0.01,0
67,blue,-1337.1708339878467,-4298.447836254492,0,0.01,0.01,0
68,blue,-1630.9377076107098,-4348.646204499273,0,0.01,0.01,0
69,blue,-1918.4021295773136,-4428.278233791585,0,0.01,0.01,0
70,blue,-2203.9404978451075,-4514.692295130783,0,0.01,0.01,0
71,blue,-2491.2267176262903,-4595.042448613336,0,0.01,0.01,0
72,blue,-2782.052112808108,-4661.337658777412,0,0.01,0.01,0
73,blue,-3076.210895856434,-4710.803784537304,0,0.01,0.01,0
74,blue,-3372.6165522685787,-4744.302235194282,0,0.01,0.01,0
75,blue,-3670.4051298332474,-4761.57224450966,0,0.01,0.01,0
76,blue,-3968.6784711443606,-4760.711308834042,0,0.01,0.01,0
77,blue,-4266.033281550461,-4737.7740318491,0,0.01,0.01,0
78,blue,-4559.49342501602,-4685.145981482508,0,0.01,0.01,0
79,blue,-4841.132414340245,-4588.241917591905,0,0.01,0.01,0
80,blue,-5086.450623613672,-4421.200113403909,0,0.01,0.01,0
81,blue,-5234.71393908674,-4166.422415489456,0,0.01,0.01,0
82,blue,-5234.430479389428,-3871.019975348505,0,0.01,0.01,0
83,blue,-5125.221160476611,-3594.5157171121614,0,0.01,0.01,0
84,blue,-4950.820514273724,-3353.2803342594866,0,0.01,0.01,0
85,blue,-4725.857975135756,-3158.4713420955445,0,0.01,0.01,0
86,blue,-4462.594286743896,-3019.2759485682914,0,0.01,0.01,0
87,blue,-4178.732182329759,-2928.379153058054,0,0.01,0.01,0
88,blue,-3885.839238035928,-2872.3120517679704,0,0.01,0.01,0
89,blue,-3589.4995225810503,-2838.2632288717205,0,0.01,0.01,0
90,blue,-3292.096626416847,-2814.8324354977576,0,0.01,0.01,0
91,blue,-2994.8351031053962,-2789.768954020478,0,0.01,0.01,0
92,blue,-2700.258237268045,-2743.812336757572,0,0.01,0.01,0
93,blue,-2430.2351117715943,-2624.221371040256,0,0.01,0.01,0
94,blue,-2342.4464123417065,-2349.030285323154,0,0.01,0.01,0
95,blue,-2361.7066766265907,-2051.4400403256423,0,0.01,0.01,0
96,blue,-2384.1883655685533,-1754.002111652126,0,0.01,0.01,0
97,blue,-2375.2057756821728,-1456.075100663682,0,0.01,0.01,0
98,blue,-2321.397583360934,-1162.9582341125868,0,0.01,0.01,0
99,blue,-2220.887608965899,-882.4538488922187,0,0.01,0.01,0
100,blue,-2072.71185866409,-624.0135436668361,0,0.01,0.01,0
101,blue,-1878.0345753454355,-398.62692025940447,0,0.01,0.01,0
102,blue,-1642.4184915953874,-216.4183135694607,0,0.01,0.01,0
103,blue,-1378.1936916540049,-78.60086313869239,0,0.01,0.01,0
104,blue,-1096.7650920157298,19.75935132886164,0,0.01,0.01,0
105,blue,-805.855464164074,85.27156931239901,0,0.01,0.01,0
106,blue,-510.1833689480969,124.42442978840624,0,0.01,0.01,0
107,blue,-212.54684856012886,144.1784681107812,0,0.01,0.01,0
108,blue,85.68906703119978,151.0271951958778,0,0.01,0.01,0
109,blue,384.01518779991477,150.98218613480512,0,0.01,0.01,0
110,blue,682.3412183751913,149.98498448451903,0,0.01,0.01,0
111,blue,980.6241665314658,154.47250123364,0,0.01,0.01,0
112,blue,1278.374666214701,172.27559812288078,0,0.01,0.01,0
113,blue,1573.663966340905,213.80518193004826,0,0.01,0.01,0
114,blue,1860.8227495263222,293.4315843871584,0,0.01,0.01,0
115,blue,2126.128896373618,428.3039052356781,0,0.01,0.01,0
116,blue,2347.297599174108,627.0795645937919,0,0.01,0.01,0
117,blue,2518.4322689170726,871.0688012598489,0,0.01,0.01,0
118,blue,2664.7848061568693,1130.9940735966752,0,0.01,0.01,0
119,blue,2807.3436465944114,1393.0504023767376,0,0.01,0.01,0
120,blue,2963.24455743781,1647.2931770558857,0,0.01,0.01,0
121,blue,3149.8299864720084,1879.6126116694204,0,0.01,0.01,0
122,blue,3381.736078601307,2065.863312735802,0,0.01,0.01,0
123,blue,3656.1085556814605,2180.6177479050293,0,0.01,0.01,0
124,blue,3949.8129310987197,2230.354747070214,0,0.01,0.01,0
125,blue,4247.922242340559,2234.356039668958,0,0.01,0.01,0
126,blue,4545.053465398748,2208.563728127135,0,0.01,0.01,0
127,yellow,4789.841840441381,1868.5713851667601,0,0.01,0.01,0
128,yellow,5079.538476393824,1802.0666331916352,0,0.01,0.01,0
129,yellow,5340.315527137112,1663.0000239626654,0,0.01,0.01,0
130,yellow,5465.0002878522355,1399.4341497933856,0,0.01,0.01,0
131,yellow,5502.435185853596,1104.3198965755178,0,0.01,0.01,0
132,yellow,5566.965210815922,814.5681018849082,0,0.01,0.01,0
133,yellow,5721.677198919125,562.4030232610305,0,0.01,0.01,0
134,yellow,5946.470279557694,368.569104491495,0,0.01,0.01,0
135,yellow,6201.524674252746,215.65950598091632,0,0.01,0.01,0
136,yellow,6465.36026283424,78.12237535901971,0,0.01,0.01,0
137,yellow,6722.857576582035,-70.66553488720544,0,0.01,0.01,0
138,yellow,6942.191400771357,-269.3372934779085,0,0.01,0.01,0
139,yellow,7032.386016863275,-548.6697202351124,0,0.01,0.01,0
140,yellow,7060.236665821114,-844.8274494732125,0,0.01,0.01,0
141,yellow,7155.637526391752,-1124.4882261670725,0,0.01,0.01,0
142,yellow,7352.793165868306,-1345.4014353473794,0,0.01,0.01,0
143,yellow,7597.20376730578,-1514.6538087281783,0,0.01,0.01,0
144,yellow,7850.517114170305,-1670.6930697310347,0,0.01,0.01,0
145,yellow,8075.443646155739,-1863.3913336518312,0,0.01,0.01,0
146,yellow,8173.260027928305,-2139.8571048056133,0,0.01,0.01,0
