ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,-1849.4579464249482,-4555.2874457718335,0,0.01,0.01,0
2,blue,-2076.0426044805536,-4361.555627558549,0,0.01,0.01,0
3,blue,-2257.4194894933626,-4123.648430843479,0,0.01,0.01,0
4,blue,-2419.81936723854,-3872.1337723153015,0,0.01,0.01,0
5,blue,-2576.5159551933175,-3617.0360657245647,0,0.01,0.01,0
6,blue,-2716.959740543383,-3352.73551460562,0,0.01,0.01,0
7,blue,-2825.471241135184,-3073.9787991763837,0,0.01,0.01,0
8,blue,-2884.6449848424763,-2780.9665076842466,0,0.01,0.01,0
9,blue,-2893.5958212709593,-2481.8889771455383,0,0.01,0.01,0
10,blue,-2884.4896424455287,-2182.6326840401975,0,0.01,0.01,0
11,blue,-2896.4176383362874,-1883.7425527267083,0,0.01,0.01,0
12,blue,-2977.69858952014,-1596.9564512257207,0,0.01,0.01,0
13,blue,-3084.854826554901,-1318.425816991747,0,0.01,0.01,0
14,blue,-3063.80056427994,-1023.0890969249579,0,0.01,0.01,0
15,blue,-2912.158721708843,-767.1658912432392,0,0.01,0.01,0
16,blue,-2690.02107590768,-567.4025760040003,0,0.01,0.01,0
17,blue,-2436.0116774305448,-409.3505973480625,0,0.01,0.01,0
18,blue,-2166.0788555107574,-280.0658612833544,0,0.01,0.01,0
19,blue,-1886.9769231053965,-171.86446602161283,0,0.01,0.01,0
20,blue,-1601.8768483714205,-80.57233391581704,0,0.01,0.01,0
21,blue,-1312.3741123708157,-4.367024210305459,0,0.01,0.01,0
22,blue,-1019.2575297691988,56.4629320059197,0,0.01,0.01,0
23,blue,-723.2946581217404,101.44856450887687,0,0.01,0.01,0
24,blue,-425.3905441197986,131.008777762505,0,0.01,0.01,0
25,blue,-126.43014664860033,146.78457539606526,0,0.01,0.01,0
26,blue,172.91351139037658,151.91646849781364,0,0.01,0.01,0
27,blue,472.30833832658163,150.92605005874518,0,0.01,0.01,0
28,blue,771.7019547556745,149.46298108259413,0,0.01,0.01,0
29,blue,1071.0591293996713,153.70726648582433,0,0.01,0.01,0
30,blue,1370.0111839233798,169.51936432760704,0,0.01,0.01,0
31,blue,1667.6410811630176,201.5862699720742,0,0.01,0.01,0
32,blue,1960.7714112263097,261.04147818473746,0,0.01,0.01,0
33,blue,2228.304603230875,392.2128629764572,0,0.01,0.01,0
34,blue,2449.6017011061354,593.0418933742551,0,0.01,0.01,0
35,blue,2639.8925592056103,824.0648278817417,0,0.01,0.01,0
36,blue,2820.1502303807147,1063.1165947427776,0,0.01,0.01,0
37,blue,3007.7410328392316,1296.391024842086,0,0.01,0.01,0
38,blue,3216.468966495283,1510.7825187241758,0,0.01,0.01,0
39,blue,3449.5717745452666,1698.3923356843788,0,0.01,0.01,0
40,blue,3702.6835426727584,1858.0163391703948,0,0.01,0.01,0
41,blue,3971.5563463764684,1989.4058197002978,0,0.01,0.01,0
42,blue,4252.427921429229,2092.7268007103776,0,0.01,0.01,0
43,blue,4542.030203412419,2168.2255878135225,0,0.01,0.01,0
44,blue,4837.482922906045,2215.9706082291395,0,0.01,0.01,0
45,blue,5136.118200560966,2235.664895500511,0,0.01,0.01,0
46,blue,5435.218878031982,2225.917771770044,0,0.01,0.01,0
47,blue,5731.150873387661,2181.786267839442,0,0.01,0.01,0
48,blue,6018.786553428843,2099.5060709690124,0,0.01,0.01,0
49,blue,6292.75822538596,1979.3102308585844,0,0.01,0.01,0
50,blue,6549.766612728909,1826.0694360750974,0,0.01,0.01,0
51,blue,6787.853687862677,1644.79720356059,0,0.01,0.01,0
52,blue,7003.714852524892,1437.5860297555619,0,0.01,0.01,0
53,blue,7191.311922802386,1204.560656544477,0,0.01,0.01,0
54,blue,7339.790243634978,945.0362385289644,0,0.01,0.01,0
55,blue,7431.4061364337,660.7683964969823,0,0.01,0.01,0
56,blue,7441.910342021858,362.7721501919133,0,0.01,0.01,0
57,blue,7363.230118322413,74.83893544312537,0,0.01,0.01,0
58,blue,7224.808857077273,-190.26545939046287,0,0.01,0.01,0
59,blue,7056.117563681569,-437.5244050606014,0,0.01,0.01,0
60,blue,6876.61905594161,-677.1447395489645,0,0.01,0.01,0
61,blue,6701.453832136149,-919.9147358401852,0,0.01,0.01,0
62,blue,6548.868480148518,-1177.2436225063907,0,0.01,0.01,0
63,blue,6451.402359419212,-1459.2866342567838,0,0.01,0.01,0
64,blue,6454.850354905186,-1757.0857353828494,0,0.01,0.01,0
