ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,-1012.1407821329171,261.03077916704825,0,0.01,0.01,0
2,blue,-718.8355041025304,204.65964855590144,0,0.01,0.01,0
3,blue,-421.97460770862705,171.27951176246583,0,0.01,0.01,0
4,blue,-123.72615215248715,153.82136499535443,0,0.01,0.01,0
5,blue,174.97618525400327,147.35229298339902,0,0.01,0.01,0
6,blue,473.75429754021354,148.1993149434782,0,0.01,0.01,0
7,blue,772.4919724694998,153.38958795272538,0,0.01,0.01,0
8,blue,1071.1982665137384,160.20137494081368,0,0.01,0.01,0
9,blue,1369.9268029773507,165.9076043823365,0,0.01,0.01,0
10,blue,1668.7019884960912,167.3569151750993,0,0.01,0.01,0
11,blue,1967.3900527368453,160.48795261805537,0,0.01,0.01,0
12,blue,2265.3778709047892,139.34894418770298,0,0.01,0.01,0
13,blue,2560.5981359038224,94.22710041309053,0,0.01,0.01,0
14,blue,2846.2218669010754,8.002817820552366,0,0.01,0.01,0
15,blue,3100.2434964032504,-146.70693797877624,0,0.01,0.01,0
16,blue,3272.2174424610366,-387.7575640520119,0,0.01,0.01,0
17,blue,3322.984857107364,-680.1174802375483,0,0.01,0.01,0
18,blue,3275.8807369985484,-974.2475813095398,0,0.01,0.01,0
19,blue,3138.4890813219536,-1237.6072204370441,0,0.01,0.01,0
20,blue,2921.31914634655,-1441.3055360504663,0,0.01,0.01,0
21,blue,2663.1216848696595,-1590.9102767418035,0,0.01,0.01,0
22,blue,2387.7895291408527,-1706.7005012547183,0,0.01,0.01,0
23,blue,2105.0109697273983,-1803.0136832910007,0,0.01,0.01,0
24,blue,1816.3704560922297,-1879.9631273869902,0,0.01,0.01,0
25,blue,1522.871085525756,-1935.5127481949914,0,0.01,0.01,0
26,blue,1225.8931333579512,-1967.5086345938137,0,0.01,0.01,0
27,blue,927.2758557025397,-1973.749869917825,0,0.01,0.01,0
28,blue,629.3909662835034,-1952.1476783273638,0,0.01,0.01,0
