epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6302,1.49187,1.90181,0.94312,0.65478,0.35447,0.38428,0.21442,1.31476,1.02719,0.89242,0.00332675,0.00332675,0.00332675
2,154.969,1.39781,1.13182,0.91058,0.81222,0.39576,0.44964,0.26055,1.23919,0.82414,0.88419,0.00659414,0.00659414,0.00659414
3,224.221,1.39556,1.01725,0.91219,0.63134,0.42517,0.45194,0.25821,1.25971,0.79036,0.89183,0.00979554,0.00979554,0.00979554
4,293.148,1.33839,0.89118,0.90701,0.70947,0.45607,0.50242,0.29642,1.16518,0.69792,0.87597,0.009703,0.009703,0.009703
5,362.22,1.26716,0.77915,0.88919,0.72088,0.47974,0.52865,0.31465,1.12114,0.64184,0.86756,0.009604,0.009604,0.009604
6,431.294,1.20424,0.71395,0.88397,0.72253,0.48282,0.52977,0.31691,1.11643,0.63842,0.86431,0.009505,0.009505,0.009505
7,500.123,1.18454,0.68035,0.87663,0.73098,0.49286,0.55082,0.33617,1.06967,0.59938,0.85606,0.009406,0.009406,0.009406
8,569.147,1.15765,0.65819,0.87253,0.74515,0.50081,0.55319,0.34269,1.04665,0.57746,0.8538,0.009307,0.009307,0.009307
9,638.001,1.13089,0.63643,0.86847,0.71722,0.52311,0.5725,0.35746,1.03088,0.55911,0.85052,0.009208,0.009208,0.009208
10,706.887,1.1112,0.61681,0.86606,0.75382,0.50453,0.56857,0.35165,1.04637,0.56639,0.84987,0.009109,0.009109,0.009109
11,775.681,1.10519,0.61158,0.86265,0.74087,0.50295,0.56764,0.34992,1.05668,0.56781,0.85336,0.00901,0.00901,0.00901
12,844.599,1.08911,0.59604,0.86075,0.74227,0.52186,0.57515,0.36301,1.00742,0.54633,0.84469,0.008911,0.008911,0.008911
13,913.512,1.08684,0.58847,0.85835,0.7493,0.53185,0.58758,0.37173,0.98955,0.5297,0.84281,0.008812,0.008812,0.008812
14,982.412,1.0696,0.58138,0.85835,0.76526,0.52678,0.58941,0.37207,0.9802,0.52023,0.84195,0.008713,0.008713,0.008713
15,1051.34,1.05629,0.57372,0.85414,0.732,0.54538,0.59302,0.37764,0.97515,0.51768,0.83985,0.008614,0.008614,0.008614
16,1120.25,1.05107,0.56716,0.85462,0.76533,0.53684,0.59701,0.37693,0.97351,0.51611,0.83688,0.008515,0.008515,0.008515
17,1189.09,1.04328,0.55992,0.85394,0.75067,0.54216,0.59487,0.3806,0.9686,0.5021,0.83916,0.008416,0.008416,0.008416
18,1257.97,1.04636,0.55986,0.85096,0.76545,0.53699,0.59802,0.38185,0.95714,0.49941,0.83374,0.008317,0.008317,0.008317
19,1326.86,1.03173,0.55183,0.84933,0.77788,0.53306,0.60298,0.38868,0.95385,0.49572,0.83479,0.008218,0.008218,0.008218
20,1395.62,1.02524,0.54727,0.84948,0.72181,0.53863,0.59703,0.38364,0.95385,0.50015,0.83461,0.008119,0.008119,0.008119
21,1464.52,1.01791,0.54159,0.84785,0.77532,0.53795,0.60604,0.39115,0.94301,0.49027,0.83336,0.00802,0.00802,0.00802
22,1533.4,1.01237,0.53518,0.84657,0.7647,0.54896,0.6114,0.39343,0.93239,0.48303,0.83292,0.007921,0.007921,0.007921
23,1602.29,1.00767,0.53208,0.84553,0.75025,0.55895,0.61787,0.39819,0.93858,0.47935,0.83271,0.007822,0.007822,0.007822
24,1671.12,0.999,0.5298,0.84316,0.74963,0.55669,0.61739,0.39812,0.93392,0.47848,0.83319,0.007723,0.007723,0.007723
25,1740.09,1.00173,0.53022,0.84335,0.76869,0.55751,0.61757,0.39878,0.93574,0.47584,0.83205,0.007624,0.007624,0.007624
26,1808.95,0.99375,0.52266,0.84539,0.75144,0.56439,0.61887,0.40148,0.92879,0.47567,0.83242,0.007525,0.007525,0.007525
27,1877.81,0.99143,0.52132,0.84271,0.77312,0.55719,0.621,0.4042,0.92266,0.46782,0.82964,0.007426,0.007426,0.007426
28,1946.69,0.98914,0.51936,0.84261,0.76045,0.57089,0.62569,0.40743,0.91373,0.4652,0.8279,0.007327,0.007327,0.007327
29,2015.57,0.98751,0.51914,0.84318,0.76663,0.56162,0.62195,0.40651,0.91223,0.46262,0.8289,0.007228,0.007228,0.007228
30,2084.42,0.98239,0.51472,0.84219,0.77654,0.56484,0.6277,0.40803,0.91285,0.45758,0.82952,0.007129,0.007129,0.007129
31,2153.28,0.97556,0.50922,0.8382,0.7604,0.58017,0.63168,0.41016,0.90451,0.45834,0.8256,0.00703,0.00703,0.00703
32,2222.19,0.9813,0.50996,0.84131,0.7733,0.57603,0.63466,0.41194,0.90442,0.45188,0.82651,0.006931,0.006931,0.006931
33,2291.02,0.97053,0.5067,0.83886,0.77917,0.56838,0.63289,0.4121,0.90536,0.45063,0.8267,0.006832,0.006832,0.006832
34,2359.99,0.9686,0.5048,0.83908,0.76572,0.56221,0.62542,0.40916,0.89614,0.4493,0.82442,0.006733,0.006733,0.006733
35,2428.95,0.96622,0.50103,0.83707,0.78498,0.57383,0.63432,0.41464,0.89528,0.44743,0.82507,0.006634,0.006634,0.006634
36,2497.81,0.96095,0.49774,0.83631,0.77293,0.57812,0.6362,0.41489,0.89434,0.445,0.82442,0.006535,0.006535,0.006535
37,2566.77,0.95959,0.49622,0.83744,0.75668,0.59808,0.63967,0.41674,0.89083,0.44198,0.82257,0.006436,0.006436,0.006436
38,2635.78,0.95713,0.49722,0.83714,0.76783,0.57645,0.63318,0.41432,0.8901,0.44159,0.8244,0.006337,0.006337,0.006337
39,2704.66,0.95,0.49046,0.83574,0.76252,0.58027,0.6348,0.41717,0.88616,0.43766,0.82186,0.006238,0.006238,0.006238
40,2773.59,0.94798,0.49089,0.8355,0.77266,0.58548,0.6419,0.4206,0.88548,0.43898,0.82301,0.006139,0.006139,0.006139
41,2842.48,0.94964,0.48997,0.83433,0.77527,0.59106,0.64475,0.42236,0.88523,0.43623,0.8231,0.00604,0.00604,0.00604
42,2911.5,0.9467,0.48651,0.83421,0.77317,0.57735,0.63918,0.42055,0.87845,0.43117,0.82136,0.005941,0.005941,0.005941
43,2980.59,0.94366,0.48489,0.83376,0.78131,0.57951,0.64072,0.42127,0.87623,0.43083,0.81942,0.005842,0.005842,0.005842
44,3049.44,0.94229,0.48446,0.83356,0.76846,0.59248,0.64747,0.42756,0.87613,0.43008,0.8208,0.005743,0.005743,0.005743
45,3118.41,0.93816,0.48142,0.83329,0.7754,0.5879,0.64594,0.4266,0.87513,0.42946,0.82114,0.005644,0.005644,0.005644
46,3187.34,0.92923,0.48011,0.83315,0.7798,0.58769,0.64769,0.42723,0.87376,0.42475,0.82085,0.005545,0.005545,0.005545
47,3256.26,0.93571,0.47933,0.83291,0.78939,0.57784,0.64722,0.42938,0.87253,0.42423,0.82036,0.005446,0.005446,0.005446
48,3325.27,0.92858,0.47589,0.83333,0.78341,0.58726,0.64768,0.42924,0.86628,0.42253,0.81992,0.005347,0.005347,0.005347
49,3394.28,0.92879,0.47435,0.83232,0.78514,0.58302,0.65123,0.43086,0.86594,0.42202,0.8186,0.005248,0.005248,0.005248
50,3463.1,0.92612,0.47272,0.83228,0.77621,0.59064,0.64897,0.43002,0.86596,0.42223,0.81935,0.005149,0.005149,0.005149
51,3532.03,0.92089,0.47219,0.8321,0.7847,0.58725,0.65115,0.42983,0.86471,0.41923,0.81753,0.00505,0.00505,0.00505
52,3600.85,0.92367,0.47227,0.83029,0.78175,0.59419,0.65413,0.4325,0.86221,0.4175,0.81756,0.004951,0.004951,0.004951
53,3669.74,0.91826,0.46744,0.83187,0.79406,0.57677,0.65207,0.43301,0.86257,0.41905,0.81799,0.004852,0.004852,0.004852
54,3738.59,0.9145,0.46782,0.83053,0.79231,0.59097,0.657,0.43375,0.86078,0.41526,0.81754,0.004753,0.004753,0.004753
55,3807.55,0.9115,0.46448,0.83057,0.79315,0.58219,0.65108,0.43179,0.86027,0.41489,0.81706,0.004654,0.004654,0.004654
56,3876.42,0.91332,0.46488,0.8317,0.77903,0.59243,0.65054,0.43266,0.85544,0.41298,0.8163,0.004555,0.004555,0.004555
57,3945.51,0.90894,0.46059,0.82791,0.78448,0.59737,0.65764,0.43603,0.85533,0.41225,0.81629,0.004456,0.004456,0.004456
